stage,epidermis,eye,fin.epithelia,glial,iridophores,lateral.line,mesenchyme,muscle,neural,otic,pericytes,periderm,somites,spinal.cord,taste,vasculature,xanthophores
 14-21,0,0,0,0,0,0,0,0,5,0,0,0,2,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,20.52,0,0,0,0,1.64,0,0,0
 36-46,0.81,0,0,0,0,0,0,0,53.98,0,0,0,0,0,0,0,0
 48-58,0,5.74,0,0.57,0,0,0,0,70,0,0,0,0,3.44,0,0,0
 60-70,0.98,25.52,0.98,1.96,0,0,3.93,0,252.25,0.98,0.98,0,0,6.87,0,0,0
 72-82,0.98,30.43,0,7.85,0,0,2.94,0,187.5,0,0,0,0,3.93,0.98,0,0
 84-94,2.12,18.05,0,4.25,0,0,0,0,113.64,1.06,0,0,0,4.25,0,1.06,0
 96-106,3.28,25.14,0,3.28,1.09,0,2.19,1.09,90.71,1.09,0,0,0,5.46,0,0,1.09
108-118,3.06,16.09,0,2.3,0,0,1.53,0,80.43,0.77,0,0,0,1.53,0.77,0,0
120,5.88,21.56,0,1.96,0,1.96,0,0,99.95,0,0,1.96,0,1.96,0,0,0
