stage,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.mesenchyme,glial,gut,immune,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,olfactory,otic,periderm,pronephros,slow.muscle,spinal.cord,vasculature,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0
 24-34,0,0.82,0,0,0.82,0,0,0.82,0,0,0,0,0,0,0,22.98,0,0,0,0,0,0.82,0,1.64
 36-46,0,0,0,0,0,0,0,0,0,0,0,0.81,0,0,0,37.87,0,0,0.81,0,0,1.61,0,3.22
 48-58,0,0.57,0,0,0,0,0,0.57,0,0.57,0,1.72,1.15,0,0.57,47.05,0.57,0,0,0,0,6.89,0,2.3
 60-70,0,0,0,0,2.94,0.98,0,0.98,0,0.98,0,0,0,0,0,76.56,0,0,0,0,0,8.83,0.98,3.93
 72-82,0,0,0,0,15.71,0,0,0.98,6.87,0.98,1.96,1.96,3.93,0,0,106.02,0,0.98,0,0,0,2.94,0,2.94
 84-94,1.06,0,0,0,10.62,0,0,2.12,18.05,1.06,1.06,2.12,1.06,1.06,0,47.79,0,0,1.06,0,0,2.12,0,7.43
 96-106,2.19,0,0,1.09,8.74,0,0,2.19,21.86,1.09,1.09,1.09,0,0,0,61.2,0,0,1.09,0,0,1.09,0,2.19
108-118,0,0.77,0.77,0,12.26,0,0.77,2.3,39.06,3.06,2.3,2.3,2.3,0,0,41.36,1.53,0,2.3,0.77,0.77,2.3,0,4.6
120,0,1.96,0,0,3.92,0,0,1.96,45.08,5.88,1.96,0,0,0,0,56.83,1.96,0,0,3.92,0,3.92,0,1.96
