stage,axial,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,periderm,pronephros,slow.muscle,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
  7-9,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.64,0,0,0,0,0,0,0.82,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.81,0,0,0,2.42,0,0,0,0.81,0,0,0,0,0,0
 48-58,0,0,0,0,0,0,0.57,0,0,0,0,0,0,0,0,0.57,0,0,0.57,0,5.16,0,0,0,0,0,0,0,0,0,0
 60-70,0.98,0,0,0,0,2.94,0.98,0,0,0.98,0,0,0,0,0,0,2.94,0,0,0,14.72,0,0,0,0,0,0,0,0,0,0
 72-82,0,0.98,0,0,0,68.72,0.98,0.98,0,0,2.94,0,0,0,0,1.96,13.74,0,0,0.98,29.45,0,0.98,0,0,0,0,0,0,0.98,0
 84-94,0,1.06,0,1.06,2.12,140.19,5.31,0,0,0,7.43,0,0,0,0,0,1.06,0,1.06,0,35.05,0,1.06,0,2.12,0,0,1.06,0,0,0
 96-106,0,0,0,0,1.09,278.68,8.74,0,0,2.19,13.11,1.09,1.09,0,0,0,12.02,0,0,1.09,34.97,1.09,0,0,2.19,0,0,0,1.09,1.09,1.09
108-118,0,0.77,0,1.53,1.53,497.11,8.43,0,1.53,3.06,14.55,0.77,0,1.53,0.77,0,6.13,0.77,1.53,0,35.23,0,0.77,0.77,3.06,0,0.77,0,0,0,0
120,0,0,0,0,0,184.22,3.92,0,0,1.96,15.68,0,0,0,0,0,5.88,0,0,0,25.48,0,0,1.96,1.96,0,0,0,0,1.96,0
