stage,endocrine.pancreas,endoderm,epidermis,eye,gut,ionocyte,liver,mesenchyme,mucous,mural.cell,neural,periderm,spinal.cord,vasculature
  7-9,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0
 14-21,1,1,1,0,0,0,0,0,0,0,3,1,0,0
 24-34,0,0.82,0.82,0,0,0,0.82,0.82,0.82,0,2.46,1.64,0.82,0.82
 36-46,0,0,0,0,0,0,0,0,0,0,1.61,0,0,0
 48-58,0,0,0,0,0,0,0,0.57,0,1.15,0.57,5.16,0,0
 60-70,0,0,0,0.98,0,0,0,0.98,0,0,0,0.98,0,0
 72-82,0,0,0,0.98,0.98,0,0,0,0,0,0.98,3.93,0,0
 84-94,1.06,0,2.12,0,0,1.06,0,1.06,0,0,0,15.93,0,0
 96-106,0,0,1.09,0,2.19,0,0,3.28,2.19,0,2.19,46.99,0,0
108-118,0,0,0.77,0,0.77,0,0,0.77,0,0,1.53,16.85,0,0
120,0,0,0,0,0,0,0,0,0,0,0,35.28,0,0
