stage,blastomeres,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,glial,hatching.gland,immune,mesenchyme,muscle,neural,olfactory,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,1,1,0,0,0,0,0,0,1,0,2,0,0,0,1,0,27,5,3,0,0,0
 24-34,0,0,0,0,2.46,0,0,0,0,4.93,0.82,8.21,0,0,0.82,0,0.82,59.92,1.64,6.57,1.64,0,0
 36-46,0,0.81,0,0,1.61,0,0.81,0,0,4.03,0.81,5.64,0,0,0,0,1.61,63.65,0,2.42,1.61,0,0.81
 48-58,0,1.15,0,0,4.02,1.15,0,0,0,1.72,1.72,10.33,0,0.57,0.57,0,1.15,74.59,0,4.59,1.72,0,0
 60-70,0,0,0,0,1.96,1.96,0.98,0,0.98,0,2.94,13.74,0,0,0,0,0,49.08,0,0.98,0.98,0,0
 72-82,0,0,0.98,0,10.8,1.96,3.93,0,0,2.94,0.98,15.71,0,0.98,0,0,0.98,25.52,0,1.96,1.96,0,0
 84-94,0,2.12,0,0,2.12,5.31,8.5,0,0,3.19,4.25,8.5,0,0,0,0,1.06,45.67,0,0,3.19,0,0
 96-106,0,0,0,0,12.02,8.74,2.19,0,0,4.37,2.19,8.74,0,0,0,0,0,54.64,0,0,2.19,1.09,0
108-118,0,0,0.77,0,3.83,5.36,1.53,0,0,1.53,2.3,7.66,1.53,0,0,0,2.3,38.3,0,0.77,3.06,0,0
120,0,1.96,1.96,1.96,9.8,1.96,3.92,0,0,1.96,1.96,9.8,0,0,0,0,0,13.72,0,0,0,0,0
