stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,289.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,61.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,2.63,0,0,5.26,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,18.4,5.26,0,0,13.14,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.35,3.15,0,0,18.88,0,0,3.15,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,2,2,5,0,0,0,2,0,0,0,0,0,0,0,5,0,1,40,1,0,1,1,0,0,0,0,0,2,12,0,0,0,0,0
 24-34,0,0,0,0,0,3.28,0,0,0,0.82,0,0,0,0,0,0,0,6.57,0,0,15.6,0,0,0,0,0,0,0,0.82,0.82,0.82,9.03,0,0,0,0,0
 36-46,0,0,0,5.64,0.81,2.42,0,0,4.83,0,0,0,0,0,0,0,0,16.92,0.81,3.22,46.73,0,0.81,0.81,0,0,0,0,0,0,0,15.31,0,0,0.81,0,0
 48-58,0,0,0,0.57,0,4.02,0,1.72,9.75,0,0,0.57,0,0,0,0,0,15.49,8.03,1.15,32.71,0,0,1.15,0,0.57,0,0.57,0,0,0,6.31,0,1.72,0,0,0
 60-70,0,0,0,0,0,2.94,0,0,8.83,0,0,0,0,0,0.98,0,0,48.09,7.85,1.96,36.32,0,0,0.98,0,0,0,0,0,0,0,3.93,0,5.89,0,1.96,0
 72-82,0,0,0,1.96,4.91,21.6,0,4.91,27.49,0,0,0.98,0,0,1.96,0,0,97.18,10.8,7.85,66.75,0,0.98,0,0,0,0.98,0,0,0.98,0,5.89,0,9.82,0,13.74,1.96
 84-94,0,0,0,3.19,1.06,15.93,0,1.06,12.74,0,0,0,0,0,0,0,0,46.73,11.68,6.37,24.43,0,0,1.06,0,0,0,0,0,0,0,6.37,0,3.19,0,15.93,0
 96-106,0,0,0,2.19,0,14.21,0,2.19,26.23,0,0,3.28,1.09,0,0,0,0,98.36,13.11,2.19,18.58,0,0,1.09,0,1.09,0,0,0,0,0,0,0,8.74,0,17.49,0
108-118,0,0,0,0.77,0.77,6.89,0.77,1.53,16.09,0,0,0.77,0,0,1.53,0,0.77,93.45,9.96,3.83,20.68,0,0,0,0,3.83,0,0,0,0,0,1.53,0,3.83,0,3.83,0
120,0,0,0,1.96,0,5.88,0,3.92,5.88,0,0,1.96,0,1.96,3.92,1.96,1.96,80.35,7.84,5.88,15.68,0,0,0,0,0,0,0,0,0,0,0,1.96,0,1.96,13.72,0
