stage,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,mesenchyme,muscle,neural,olfactory,periderm,presomitic_mesoderm,somites,spinal_cord,vascular_smooth_muscle,vasculature
 14-21,3,1,2,0,0,1,0,1,1,3,0,0,1,1,5,0,0
 24-34,0,0,0.82,0,0,0,0,3.28,1.64,15.6,0.82,1.64,0,0,4.1,0,0
 36-46,0.81,0,1.61,0,0,1.61,0,2.42,0,8.06,0.81,1.61,0,0,0,0,0.81
 48-58,0,0,2.87,0,0,1.15,0,3.44,0.57,4.02,0,1.15,0,0,0.57,0,0
 60-70,0.98,0,1.96,0,0.98,1.96,0,2.94,0,3.93,0,0,0,0,0,0.98,0
 72-82,0,0.98,0.98,0,0,1.96,0,3.93,0,2.94,0,0,0,0,0,0,0.98
 84-94,0,0,3.19,0,1.06,0,0,3.19,0,1.06,0,0,0,0,0,0,0
 96-106,1.09,0,1.09,0,0,0,0,0,0,4.37,0,0,0,0,0,0,0
108-118,0.77,0,1.53,0.77,0,2.3,1.53,1.53,0,1.53,0,0,0,0,0,0,0
120,0,0,0,0,0,0,3.92,1.96,0,3.92,0,0,0,0,0,0,1.96
