stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,lateral.line,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,3.15,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,0,25.18,3.15,0,0,6.29,3.15,0,6.29,0,0,0,0,0,0,0
 14-21,0,0,1,3,1,0,0,0,0,0,0,0,0,0,1,0,2,13,0,0,0,0,1,1,1,1,5,1,0,0,0,0
 24-34,0,0,0.82,0,3.28,0,0,0,0.82,0,0.82,0,0,0,4.93,0,1.64,24.63,0.82,0,0.82,0,3.28,0,0,0,0,13.13,0,0,0,0.82
 36-46,0,0,1.61,1.61,8.06,0.81,0,0,4.03,0,0,0,0,0,4.83,0,4.03,37.87,0.81,0,0,0,0.81,0,0,0,0,8.06,0,1.61,0,0
 48-58,0,0,0.57,2.87,16.64,0.57,0,0,4.02,0.57,0,0,0,0.57,5.74,0.57,0.57,24.67,0.57,0,0,0,1.72,0,0,0.57,0,2.3,0,0.57,0,0.57
 60-70,0,0,0,2.94,15.7,0.98,0,0,10.8,0.98,0,0,0,0,7.85,0,3.93,27.48,0,0.98,0.98,0,0,0,0.98,0,0,4.91,0,0,0,0
 72-82,0,0.98,1.96,10.8,13.74,0,0,0,15.71,0.98,0,0,0,0.98,9.82,0.98,1.96,25.52,0,0.98,0.98,0,2.94,0,0,0,0,0.98,0.98,0.98,0.98,0.98
 84-94,0,0,2.12,1.06,23.36,0,2.12,0,12.74,2.12,0,0,0,2.12,12.74,0,2.12,20.18,0,1.06,3.19,0,2.12,0,0,0,0,0,0,2.12,0,0
 96-106,0,1.09,2.19,6.56,9.84,0,0,0,2.19,1.09,0,0,1.09,0,6.56,0,0,8.74,0,0,0,0,2.19,0,0,0,0,0,0,0,0,1.09
108-118,0,0.77,0.77,7.66,9.19,0.77,0,0,6.89,0,0,1.53,0.77,0,6.13,0,0,15.32,0.77,1.53,0,0,2.3,0,0,0,0,0,0,1.53,0,0.77
120,0,0,1.96,13.72,3.92,1.96,0,1.96,0,0,0,0,0,0,0,0,1.96,13.72,0,1.96,0,0,5.88,0,1.96,0,0,0,0,0,0,0
