stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,glial,gut,hatching.gland,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,otic,paraxial.mesoderm,pericytes,periderm,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,21.03,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,0,6.29,0,0,3.15,0,0,0,3.15,0,0,0,0,0,0,0,31.47,198.26,0,6.29,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,11,2,1,0,0,0,1,0,0,0,0,2,0,2,6,426,0,0,0,1,1,1,6,0,0,0,6
 24-34,0,0,0,4.1,0,18.88,0,0,0,0,0,0.82,0,17.24,5.75,0,3.28,13.95,68.13,0,0,0,0.82,0,0,1.64,0,1.64,0,40.22
 36-46,0,0,0,1.61,0,15.31,0,0,0,0,0.81,0,0,37.87,19.34,0,2.42,11.28,49.15,0,0,0.81,0.81,0,0,1.61,0,0,0,49.15
 48-58,0,0,0,1.15,0,14.35,0,1.15,0,0,4.59,0,0,30.99,12.62,1.15,1.15,9.18,22.38,0,0,0,0.57,0.57,0,1.72,0,0.57,0,49.35
 60-70,0,0,0,0,0,39.26,0,4.91,0,0,19.63,0,0,19.63,14.72,0,3.93,10.8,17.67,0,0,0,0,0.98,0,0,0,1.96,0,38.28
 72-82,0,0,0,0,0,40.25,0,7.85,0,0,23.56,0,0,18.65,37.3,0,2.94,15.71,12.76,1.96,0,0,0,0,0,1.96,0,0.98,0,27.49
 84-94,0,0,0,2.12,0,111.51,0,6.37,0,0,25.49,0,2.12,38.23,21.24,2.12,1.06,10.62,24.43,1.06,0,0,2.12,3.19,0,0,0,4.25,1.06,35.05
 96-106,0,0,0,0,3.28,108.19,0,6.56,0,0,16.39,0,1.09,31.69,21.86,1.09,1.09,14.21,21.86,1.09,0,2.19,2.19,1.09,0,1.09,1.09,2.19,0,27.32
108-118,0.77,0,0,3.06,0,108,0.77,9.96,0.77,0,35.23,0,0,23.74,14.55,0.77,0.77,8.43,14.55,2.3,0,2.3,1.53,0.77,0,2.3,0,0.77,0,30.64
120,0,0,0,1.96,0,35.28,0,0,0,0,19.6,0,0,11.76,9.8,0,5.88,7.84,11.76,1.96,0,0,0,0,0,1.96,0,0,0,13.72
