stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,513.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,134.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.54,0,0,0,7.89,0,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,12.59,0,3.15,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,132.17,6.29,0,0,28.32,0,0,0,0,6.29,0,0,0,0,0,0,0,0
 14-21,0,0,0,2,14,2,4,0,0,3,1,0,0,0,0,0,0,0,13,0,3,67,2,2,1,0,0,0,0,8,3,0,3,37,0,0,2,0,0
 24-34,0,0,0.82,0.82,2.46,0,11.49,0.82,0,4.1,0.82,0,0,0,1.64,0,0,0,9.85,0,4.93,155.14,0,1.64,0.82,0,0.82,0.82,0,0,0.82,0,4.1,39.4,0,0,5.75,0,0.82
 36-46,0,0,0,0,1.61,0,33.03,0,0.81,4.83,0.81,0.81,0,0,0,0,0,0,10.47,0,4.03,151.47,0,1.61,0,0,0,0.81,0,0,0.81,0,0,37.06,0,0,2.42,0,0
 48-58,0,0,0,0,1.72,0,71.73,0.57,0,13.2,0,0.57,0,0,0,0.57,1.15,0.57,14.35,0,2.3,181.32,0,1.15,0.57,0,0,1.15,0,0,0.57,0,0,30.99,0,0,2.3,0.57,0.57
 60-70,0,0,0,0,0.98,0,124.65,0,0,16.69,0,0,0,0,0,0,0,0,18.65,0,2.94,257.16,1.96,0,1.96,0,0.98,0.98,0,0,0.98,0.98,0,25.52,0,0,2.94,0,0
 72-82,0,0,0,0,1.96,0,110.93,0,1.96,18.65,0.98,0,0,0,0,0.98,0,0,27.49,3.93,0.98,188.48,0,4.91,0,0,0.98,0,0,0,0.98,0,0,10.8,0,0,1.96,1.96,0.98
 84-94,0,0,1.06,0,2.12,1.06,59.47,0,5.31,6.37,0,0,2.12,0,0,0,0,1.06,14.87,1.06,3.19,80.71,0,4.25,0,0,1.06,1.06,0,0,0,0,0,15.93,0,1.06,2.12,0,0
 96-106,0,0,0,0,1.09,0,27.32,0,1.09,12.02,1.09,1.09,1.09,1.09,0,0,0,0,13.11,0,1.09,64.48,0,1.09,4.37,0,0,0,0,0,0,0,0,2.19,0,0,0,1.09,3.28
108-118,0,0,1.53,0,3.06,0,26.04,0,0.77,9.96,0,0.77,2.3,0.77,0,0,0.77,0,19.15,1.53,3.83,87.32,0.77,3.06,0.77,0,0.77,0,0,0,0.77,0,0,1.53,0.77,0,0.77,0,0
120,0,0,0,0,5.88,0,25.48,0,1.96,9.8,3.92,0,0,0,1.96,0,0,0,9.8,0,0,90.15,0,1.96,0,0,0,1.96,0,0,0,0,0,3.92,0,0,1.96,0,0
