stage,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.mesenchyme,glial,heart,lateral.line,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,13.14,0,0,0,10.51,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,3.15,0,0,0,0,0,0,0,0,0,28.32,0,0,0,15.73,0,0,0,0,0,0,0,0,0
 14-21,0,0,5,4,0,0,0,0,0,0,0,0,0,0,7,8,0,0,0,0,0,0,1,1,6,24,0,0,0
 24-34,0,0,1.64,0.82,0,0,0,0.82,1.64,0,0.82,9.03,0,0,5.75,32.83,0,0,0.82,0,0,0,0,0,0.82,25.45,0,2.46,0
 36-46,0,0,1.61,0,0,0.81,1.61,0,5.64,0,0,6.45,0,0,0.81,27.39,0.81,0,2.42,0,0,0,0,0,0,21.75,0.81,0.81,0
 48-58,0,0,0.57,0,0,6.89,0.57,0,15.49,0,0.57,9.75,0,1.15,1.72,30.99,0,0,4.02,0,0,0.57,0,0,0,25.82,0,1.72,0
 60-70,0,0,0,0,0,12.76,0,0,18.65,0.98,1.96,8.83,0,0,0.98,34.35,0,0,3.93,0,0,0,0,0,0,25.52,0,2.94,1.96
 72-82,0,0,0,0.98,0,17.67,0,0,24.54,0,3.93,11.78,0.98,0.98,4.91,48.1,0,0,14.72,0,4.91,0,0,0,0,25.52,0.98,9.82,3.93
 84-94,0,0,3.19,0,0,11.68,0,2.12,20.18,0,3.19,8.5,0,5.31,1.06,33.99,0,1.06,19.12,0,1.06,0,0,0,0,16.99,4.25,12.74,1.06
 96-106,0,0,1.09,0,1.09,13.11,0,0,25.14,0,12.02,13.11,0,0,3.28,38.25,0,1.09,33.88,0,1.09,0,0,0,0,21.86,0,8.74,2.19
108-118,0,0,0,0,0.77,13.02,0.77,0.77,15.32,0,6.89,10.72,0,2.3,2.3,39.06,0,0,15.32,0,1.53,0,0,0,0,13.79,0,5.36,0.77
120,0,0,0,0,0,7.84,0,0,5.88,0,3.92,13.72,1.96,1.96,0,52.91,0,0,15.68,0,1.96,0,0,0,0,13.72,0,1.96,3.92
