stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,immune,ionocyte,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,somites,spinal_cord,taste,vasculature
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,73.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.8,0,0,0,7.89,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.03,0,0,0,15.73,0,0,0,0,0,0,0
 14-21,0,0,0,3,3,0,2,0,0,0,0,0,0,0,0,0,0,17,0,0,0,1,0,0,1,1,1,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,3.28,1.64,0.82,0,14.78,0,0,0,0,0,0,0,0.82,1.64,0,0.82
 36-46,0,0,0,0,0,0,0.81,0,0.81,0,0.81,0,0,0.81,0.81,0,0,6.45,0,0,0,0,0,0,0,0,0,0,0
 48-58,0,0,0,0,0,0,6.31,0,0.57,0,0,0,0,2.3,3.44,0,1.15,11.48,0.57,0,0,0,0.57,0,0,0,2.87,0,0
 60-70,0,0,0,0.98,0,0.98,1.96,0,0,1.96,0,0,0,8.83,0,0,0,2.94,0,0,0,0,0,0,0,0,0,0,0.98
 72-82,0,0,0,0.98,0,0,10.8,0,0,2.94,0.98,0,0,102.09,3.93,0,0.98,10.8,0.98,0,0,0,0,0.98,0,0,0,0,0.98
 84-94,0,0,0,1.06,0,0,5.31,0,1.06,1.06,0,0,0,381.27,3.19,0,1.06,14.87,0,1.06,0,0,0,0,0,0,0,1.06,1.06
 96-106,0,0,0,0,2.19,2.19,8.74,1.09,0,0,3.28,2.19,1.09,596.69,4.37,0,0,59.01,1.09,1.09,1.09,0,0,3.28,0,0,0,0,3.28
108-118,0,0.77,0,1.53,0.77,0.77,5.36,0.77,1.53,0,0.77,1.53,0,1068.52,4.6,0,2.3,63.57,0.77,0,0,0,0,3.83,0,0,0,0,0.77
120,0,0,0,0,0,0,0,0,0,3.92,1.96,0,0,470.35,5.88,0,0,29.4,3.92,0,0,0,0,1.96,0,0,0,0,0
