stage,blastomeres,endoderm,epidermis,erythrocytes,eye,glial,ionocyte,mesenchyme,neural,otic,paraxial.mesoderm,periderm,spinal.cord,taste,vasculature
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,23.66,0,0,0,0,0,0,2.63,0,0,0,0,0,0
 10-12,0,18.88,0,0,0,0,0,0,9.44,0,3.15,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0
 36-46,0,0,0.81,0,0,0,0.81,0,0.81,0,0,0,0,0,0
 48-58,0,0,0,0,0.57,0,0,0,2.87,0,0,0,0,0,0
 60-70,0,0,0.98,0,0,1.96,0,0,0,0,0,0,0.98,0,0
 72-82,0,0,0,0,0.98,12.76,0,0,3.93,0,0,0,0,0.98,0
 84-94,0,0,0,0,2.12,7.43,0,1.06,1.06,0,0,0,0,0,1.06
 96-106,0,0,0,0,1.09,12.02,1.09,1.09,0,1.09,0,1.09,0,0,0
108-118,0,0,0,1.53,0.77,15.32,0,0,1.53,0,0,0.77,0,0,0
120,0,0,1.96,0,0,13.72,0,0,0,0,0,0,0,0,0
