stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  5-6,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,13.14,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.59,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,168,6,4,0,23,0,0,1,1,0,1,0,0,0,14,0,0,2,7,0,0,0,0,0,5,1,0,1,1,0,0,0,0
 24-34,0,0,81.26,1.64,0,0,46.79,0.82,0,0,0,0.82,0,0,0,0,20.52,0,0.82,9.03,25.45,0,0,11.49,0,0,0,0,0,0.82,3.28,0,0,2.46,0
 36-46,0,0,41.09,0,1.61,0,13.7,0.81,0.81,0,0,0,0,0,0,0,33.03,0.81,0,1.61,21.75,0.81,0,4.83,0,0,0,0,0.81,0,2.42,0,0,4.03,0
 48-58,0,0.57,21.8,0,0,0,13.2,1.15,4.59,0,0.57,0.57,0,0,0,0,45.33,0,0,2.87,33.28,0,0,4.59,0,0,0.57,0,0,0,1.72,0,0,3.44,0
 60-70,0,0,6.87,0,3.93,0,8.83,0.98,8.83,0,0,0.98,0,0.98,0.98,0,47.11,0,0.98,0,46.13,0,0,1.96,0,0,0,0,0,0,0.98,0.98,0,0,0.98
 72-82,0,0,5.89,0,9.82,0.98,4.91,1.96,33.38,0.98,0,0,0.98,0,0.98,0.98,112.89,0,0.98,1.96,65.77,0,0,4.91,0,0,0,0,0,0,1.96,0,0.98,0,2.94
 84-94,0,0,7.43,0,10.62,0,12.74,0,24.43,0,0,0,2.12,1.06,0,1.06,97.71,0,2.12,1.06,62.66,0,0,2.12,0,0,0,0,0,0,0,0,0,0,3.19
 96-106,0,0,16.39,0,8.74,1.09,14.21,1.09,32.79,2.19,0,0,2.19,1.09,0,1.09,132.23,0,1.09,5.46,50.27,1.09,1.09,3.28,0,0,0,0,0,0,1.09,0,3.28,0,5.46
108-118,0,0,22.98,0.77,4.6,0,19.15,0.77,26.81,0,0,0,1.53,0.77,0,0.77,144,0,2.3,1.53,39.06,2.3,0,3.83,0,0.77,0.77,0,0,0,0,0,0.77,2.3,1.53
120,0,0,19.6,1.96,5.88,0,11.76,0,11.76,0,0,0,1.96,0,0,0,101.91,0,3.92,1.96,56.83,1.96,1.96,0,0,0,0,0,0,0,0,0,0,0,0
