stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,342.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,67.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.29,0,0,0,13.14,0,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,6.29,0,9.44,0,0,12.59,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,135.32,15.73,0,0,66.09,0,0,3.15,0,3.15,0,3.15,0,0,0,0,0,0
 14-21,0,0,0,0,7,8,3,0,0,0,5,0,0,1,0,0,0,0,1,18,0,0,9,29,5,0,0,2,0,1,1,3,0,4,10,28,0,0,1,0,0
 24-34,0,0,0,0,1.64,75.52,4.93,0,0.82,0.82,1.64,0,0,3.28,0,0,0,0,0.82,24.63,1.64,0.82,22.16,109.17,5.75,0,0.82,0,0,0,0,0,0,0,2.46,36.12,0,0,15.6,0,2.46
 36-46,0,0,0,0,0.81,44.31,5.64,0.81,0,0.81,4.03,0,0,0,0.81,1.61,0,0,0.81,38.67,0,4.03,10.47,175.64,12.09,0,0,0,0,1.61,0,0,0,2.42,0,58.01,0,0,13.7,0,2.42
 48-58,0,0,0,0,0.57,36.72,14.92,0,0,1.15,8.61,0,2.3,1.15,1.15,0.57,0,0,1.15,35.58,2.87,6.89,7.46,206,1.15,1.72,0.57,0,0,0.57,0,0,0,1.15,0,45.33,0,0.57,7.46,0,1.15
 60-70,0,0,0,0,0.98,11.78,67.73,0.98,0,2.94,27.48,0,2.94,0,0,2.94,0,0,0,41.22,2.94,14.72,9.82,335.68,3.93,0.98,1.96,0,0.98,0.98,0,0,0,0,0,65.76,0,5.89,5.89,3.93,4.91
 72-82,0,0,0.98,0,2.94,13.74,99.15,0,1.96,0.98,46.14,4.91,2.94,1.96,0,1.96,0.98,0.98,0,47.12,4.91,16.69,7.85,290.57,1.96,0,5.89,0,1.96,0,0,0,0,0,0,38.28,0,10.8,9.82,3.93,1.96
 84-94,0,0,0,0,4.25,10.62,65.85,1.06,0,0,31.86,7.43,3.19,1.06,1.06,4.25,3.19,0,0,38.23,2.12,18.05,1.06,147.62,0,0,5.31,0,0,1.06,0,0,0,0,0,13.81,4.25,8.5,5.31,9.56,2.12
 96-106,0,0,0,0,2.19,9.84,63.39,1.09,0,2.19,44.81,8.74,0,3.28,0,2.19,1.09,0,0,45.9,4.37,7.65,4.37,124.58,0,0,9.84,0,3.28,2.19,0,0,0,1.09,0,12.02,1.09,3.28,13.11,13.11,6.56
108-118,0,0,0,0,5.36,9.96,46.72,0,0,3.83,26.04,9.96,0,0,1.53,8.43,4.6,0.77,0,24.51,1.53,7.66,4.6,114.13,4.6,0,3.83,0,2.3,0.77,0,0,0,1.53,0,2.3,0.77,1.53,9.19,2.3,2.3
120,0,0,0,0,9.8,17.64,47.03,3.92,3.92,0,41.16,11.76,0,0,3.92,9.8,1.96,0,0,29.4,1.96,5.88,3.92,203.82,3.92,0,5.88,0,3.92,0,0,0,0,0,0,7.84,1.96,1.96,9.8,3.92,1.96
