stage,blastomeres,epidermis,erythrocytes,eye,glial,gut,hatching_gland,ionocyte,liver,mesenchyme,muscle,neural,olfactory,otic,periderm,spinal_cord,vasculature
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,2.63,0,0,0,0,2.63,0,0,0,0,0
 14-21,0,1,1,0,0,0,0,0,0,0,0,3,0,0,0,0,2
 24-34,0,0,0,0.82,0,0,0,0,0,0,0,4.1,0,0,0,0,17.24
 36-46,0,0,0,0,0.81,0,0,0,0,0,0,8.06,0,0,0,0.81,4.03
 48-58,0,0,0,0.57,6.31,0,0,0,0,0,0,4.59,0,0,0,1.72,5.74
 60-70,0,0,0,0,70.67,0,0,0,0.98,0,0,2.94,0,0,0.98,4.91,5.89
 72-82,0,0.98,0,14.72,257.2,5.89,0,0,0,2.94,0,5.89,0,0,0,5.89,6.87
 84-94,0,2.12,0,11.68,141.25,7.43,0,0,0,1.06,0,6.37,0,0,0,5.31,9.56
 96-106,0,6.56,0,14.21,222.94,19.67,0,0,0,1.09,1.09,18.58,0,0,2.19,6.56,5.46
108-118,0,0,0,7.66,183.07,23.74,0,0.77,0,1.53,0,7.66,0.77,2.3,0.77,5.36,9.19
120,0,0,0,11.76,241.05,60.75,0,0,1.96,1.96,0,25.48,0,0,0,3.92,3.92
