stage,axial,blastomeres,epidermis,eye,fast.muscle,fin.epithelia,glial,immune,iridophores,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,somites,spinal.cord,taste,vascular.smooth.muscle,xanthophores
  3-4,26.36,105.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0
  5-6,0,30.65,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,0,0,0,0,0,0,12.59,0,0,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,1,1,0,0,1,0,0,0,2,0,2,7,0,0,0,0,0,2,2,4,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0.82,3.28,0,2.46,20.52,0.82,1.64,0,0,0,0,0.82,3.28,0,0,0
 36-46,0,0,0,8.06,0,0,0.81,0,0,0,2.42,0.81,0.81,20.95,0,0,0,0,0.81,0,0,6.45,0,0,0
 48-58,0,0,0,5.74,0,0.57,0,0.57,0,0,2.3,0,0.57,1.15,0,0,0,0,0,0,0,4.02,0,0,0
 60-70,0,0,0,5.89,0,0,5.89,0.98,0,0,4.91,0,2.94,7.85,0,0,0,0,0,0,0,1.96,0,0,0
 72-82,0,0,0,3.93,0.98,0,6.87,0,0,0,7.85,0,0,8.83,0,0,0,0,0,0,0,0,0,0,0.98
 84-94,0,0,0,1.06,0,0,3.19,0,0,0,3.19,0,1.06,6.37,1.06,0,3.19,0,1.06,0,0,0,1.06,1.06,0
 96-106,0,0,0,2.19,0,0,1.09,0,0,1.09,4.37,0,0,6.56,0,0,0,0,0,0,0,2.19,0,0,0
108-118,0,0,0.77,1.53,0,0.77,4.6,0,1.53,0,7.66,0,0.77,7.66,0,0,0,0,0,0,0,0,0,0,0
120,0,0,1.96,0,0,0,3.92,0,0,0,3.92,0,0,13.72,0,0,0,0,0,0,0,0,0,0,0
