stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,92.25,1014.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.53,0,0,0,0,0,0,0,0,0,0,0
  5-6,61.3,858.15,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.65,12.26,0,0,12.26,0,18.39,0,0,0,0,0,0,0,0,0,0,0
  7-9,7.89,7.89,0,10.51,0,0,0,28.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,336.48,13.14,0,0,99.89,0,0,5.26,0,0,0,0,0,0,0,0,0,0
 10-12,0,18.88,0,25.18,0,6.29,0,91.26,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,560.16,31.47,0,0,94.41,0,0,3.15,0,6.29,0,0,6.29,0,0,0,0,0
 14-21,1,0,0,1,10,8,0,13,0,0,0,9,1,1,2,0,0,0,0,0,0,9,0,6,338,9,2,0,4,0,0,0,4,2,0,4,155,0,0,1,0,0
 24-34,0,0,0,0,4.1,1.64,0,43.51,0,0,0,14.78,0.82,0,0.82,1.64,0.82,0,0.82,0,0.82,15.6,0,5.75,935.78,2.46,15.6,2.46,0,0,0.82,0,0,0.82,0,0.82,245.44,0,0,3.28,0,1.64
 36-46,0,0,0.81,0,0.81,0,0,80.57,0,0,0.81,53.17,0,0,0,0.81,0.81,0.81,0,0,0,17.72,0,4.03,1264.1,0.81,13.7,2.42,0,0,0,0,0,0,0,0,263.45,0,0,3.22,0,1.61
 48-58,0,0.57,0.57,0,5.74,1.15,0,319.61,0,1.15,1.15,145.75,0.57,0,1.72,0.57,0.57,1.15,0.57,0.57,1.15,41.89,2.3,6.89,1924.54,2.3,10.9,0,0,0,1.15,0,0,0,0,0,363.22,0,0,1.15,0,5.16
 60-70,0,0,0,0,4.91,0.98,0,741.05,0,0.98,0.98,242.44,0.98,0,0.98,0.98,0,0.98,0.98,0.98,0,60.85,2.94,4.91,2547.05,0.98,15.7,1.96,0,0,1.96,0,0,1.96,0.98,0,317.03,0.98,0.98,3.93,0,1.96
 72-82,0,0,3.93,0,18.65,3.93,0,971.85,0,0.98,8.83,316.1,3.93,0,2.94,2.94,2.94,1.96,0,0.98,0,103.07,1.96,7.85,2329.48,0,27.49,4.91,0,0,2.94,0,0,1.96,0,0,208.11,0.98,3.93,6.87,3.93,2.94
 84-94,0,0,4.25,0,18.05,2.12,0,595.8,0,0,8.5,190.1,1.06,0,1.06,3.19,1.06,1.06,1.06,0,0,59.47,4.25,2.12,1043.98,1.06,12.74,4.25,0,0,2.12,0,0,1.06,0,0,130.63,0,4.25,2.12,3.19,2.12
 96-106,0,0,1.09,0,10.93,5.46,1.09,415.28,0,0,0,184.69,2.19,0,1.09,5.46,0,1.09,2.19,0,1.09,62.29,1.09,3.28,886.3,1.09,25.14,12.02,0,1.09,7.65,0,0,0,0,0,42.62,2.19,1.09,2.19,1.09,2.19
108-118,0,0,2.3,0,11.49,3.83,0,310.98,0.77,1.53,1.53,174.64,5.36,0,0.77,2.3,0,0.77,0.77,0.77,0,58.98,2.3,7.66,1142.82,0.77,15.32,3.06,0,0.77,3.83,0,0,1.53,0,0,38.3,2.3,0.77,3.06,0.77,0.77
120,0,0,1.96,0,13.72,0,0,250.85,0,5.88,5.88,133.27,1.96,0,1.96,5.88,0,3.92,1.96,0,1.96,52.91,1.96,5.88,1144.51,3.92,7.84,0,0,0,0,0,0,1.96,0,0,45.08,3.92,0,1.96,0,0
