stage,axial,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0
 14-21,1,0,277,0,0,0,0,0,0,0,0,0,0,3,28,0,0,0,0,0,4,0,0,4,0,0,0,0,56,2,1,0,3,0,0,0,0,0
 24-34,0,0,265.14,0,0,7.39,0,26.27,0,1.64,0,1.64,0,28.73,22.16,0,0,0,0,5.75,21.34,0,1.64,55,0,0,1.64,0,523.71,0,0.82,0.82,9.85,0,0,0.82,0,0
 36-46,0,0,298.9,0.81,0,13.7,0.81,60.43,0.81,2.42,0,0,0,41.89,7.25,0,0.81,0,0.81,12.09,27.39,0,0,91.04,0,1.61,0,0,1496.93,0,0,0,23.36,0,0,0,0,0
 48-58,0,0,408.55,0,0,78.04,1.15,140.01,0.57,20.08,1.72,1.15,0,32.71,11.48,0,1.15,1.15,0.57,37.87,33.85,0,4.59,191.65,1.15,2.3,0.57,0,1684.12,0,0,0.57,39.59,0,0,4.02,0,6.31
 60-70,0,0,457.39,0,0,73.61,0.98,116.8,1.96,10.8,0.98,0.98,0,26.5,16.69,0.98,0.98,0,0,21.59,25.52,1.96,1.96,107.97,1.96,0,0,0,1573.38,0,0.98,0,19.63,1.96,0,2.94,0.98,1.96
 72-82,0,0.98,710.72,1.96,0,68.72,1.96,144.3,1.96,13.74,13.74,0,0,72.64,37.3,0,1.96,1.96,0,33.38,31.41,4.91,3.93,96.2,0,9.82,1.96,0.98,1445.99,0,0.98,0.98,2.94,12.76,0.98,3.93,2.94,0.98
 84-94,0,1.06,1465.61,6.37,1.06,35.05,2.12,337.73,0,13.81,36.11,0,0,73.28,112.58,3.19,2.12,0,1.06,19.12,62.66,0,4.25,62.66,1.06,8.5,2.12,0,4407.46,0,1.06,0,4.25,77.53,0,1.06,3.19,2.12
 96-106,0,1.09,1691.73,12.02,1.09,76.5,2.19,392.33,2.19,20.76,104.91,0,1.09,67.76,122.4,2.19,7.65,2.19,0,49.18,78.68,2.19,6.56,143.16,2.19,16.39,2.19,0,3782.34,0,1.09,1.09,3.28,84.15,3.28,6.56,3.28,6.56
108-118,0.77,0,1569.46,6.13,1.53,36.77,0.77,490.98,1.53,9.96,111.83,0,0.77,42.89,136.34,0,4.6,0.77,0.77,36.77,65.87,3.06,3.06,97.28,0,11.49,3.06,0.77,3262.24,0,2.3,0,0.77,85.79,0.77,3.83,3.83,0
120,0,0,932.86,1.96,0,15.68,0,262.61,0,3.92,27.44,0,0,45.08,58.79,0,3.92,0,0,17.64,43.12,0,3.92,86.23,1.96,5.88,0,0,1585.47,0,0,0,0,17.64,1.96,1.96,0,0
