stage,blastomeres,endoderm,erythrocytes,eye,fast.muscle,glial,gut,hatching.gland,heart,ionocyte,lateral.line,liver,mesenchyme,mucous,muscle,neural,notochord,otic,paraxial.mesoderm,periderm,pronephros,slow.muscle,somites,spinal.cord,vasculature
  3-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0
  5-6,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.39,0,0,0,0,0
  7-9,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,21.03,0,0,5.26,2.63,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,22.03,9.44,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,3,4,0,0
 24-34,0,0,0,0,0,0,0,0,2.46,0,0,0,0.82,0,1.64,4.1,0,0,0,0,0,3.28,3.28,0.82,0
 36-46,0,0,0,0,2.42,0,0,0,0,0,0,0,0,0,0,6.45,0,0,0,0.81,0,0.81,1.61,0,0
 48-58,0,0,0,1.72,1.72,0,0,0,0.57,0,0,0,0,0,0,2.87,0,0,0,0,0,0.57,0,1.15,0
 60-70,0,0,0,0.98,4.91,0,0.98,0,0,0,0,0,1.96,0,0,0,0,0,0,0.98,0,0.98,0,0,0
 72-82,0,0,0,0,0.98,2.94,0,0,0,0,0,0,0.98,0,0,1.96,0,0,0,0,0,0,0,0,0.98
 84-94,0,0,0,0,1.06,0,0,0,1.06,0,0,0,0,0,0,3.19,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,2.19,3.28,0,0,0,1.09,0,1.09,1.09,2.19,0,0,0,0,1.09,0,0,1.09,0,0,0,1.09
108-118,0,0,0.77,0,2.3,0,0,0,0,0,0.77,0,0.77,0.77,0.77,3.06,0,0,0,0,0,2.3,0,0,0
120,0,0,0,0,1.96,0,0,0,0,1.96,1.96,0,0,0,1.96,1.96,1.96,1.96,0,0,0,1.96,0,0,0
