stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,42.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,2.63,2.63,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,21.03,2.63,0,0,18.4,0,0,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.03,0,0,0,12.59,0,0,3.15,0,0,0,0,0
 14-21,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,21,0,2,0,0,0,2,0,3,0,0,0,0
 24-34,0,0,0,0.82,0,0,2.46,0,0,0,0,0,0,0,0,0,0,0.82,0,0.82,116.56,0,9.85,0.82,0,0,0,0,16.42,0,0.82,0,0
 36-46,0,0,0,0,0,0,5.64,0,0.81,0,0,0.81,0,0,0,0,0,1.61,0,0,272.32,0,17.72,0,0,0,0,0,32.23,0,0.81,0,0.81
 48-58,0,0,0,1.72,0,0,20.66,0,3.44,0,0,1.15,0,0,0,0,0,2.87,0,0.57,307.56,0,12.05,0,0,0,0,0,21.8,0,0,0,0.57
 60-70,0,0,0,0,0,0,44.17,0,3.93,0,0,0,0,0,0,0,0.98,3.93,0.98,0,656.64,0,11.78,0,0,0,0,0,21.59,0,0,0,0.98
 72-82,0,0,0,3.93,0.98,0,120.74,0.98,11.78,1.96,0,0.98,0,0,0,1.96,0,12.76,0.98,0.98,859.94,0,19.63,0.98,0,0,0,0,23.56,0,1.96,0,1.96
 84-94,0,0,0,3.19,4.25,0,105.14,0,18.05,0,0,0,1.06,1.06,2.12,0,0,10.62,0,1.06,476.85,0,13.81,0,0,4.25,0,0,13.81,2.12,0,0,0
 96-106,0,0,0,5.46,0,0,109.28,1.09,14.21,0,0,1.09,4.37,0,0,1.09,0,7.65,0,1.09,461.18,0,21.86,0,0,3.28,0,0,5.46,0,2.19,1.09,0
108-118,0,0,0,4.6,0.77,0.77,104.17,0.77,11.49,0.77,0,0,0.77,0,0,0,0,5.36,0.77,0.77,517.79,0,13.02,0.77,0,1.53,0,0,3.06,0,0.77,0,0.77
120,0,0,0,5.88,3.92,0,76.43,0,7.84,0,0,0,1.96,0,0,0,0,3.92,0,0,609.49,0,13.72,0,0,1.96,0,0,7.84,0,0,0,0
