stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,197.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0,0
  5-6,0,104.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,10.51,0,7.89,0,0,0,52.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,247.1,7.89,0,0,76.23,0,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,28.32,0,40.91,0,6.29,0,78.67,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,1085.7,25.18,0,0,383.93,0,0,0,3.15,28.32,9.44,6.29,0,0,0,0,0
 14-21,0,0,0,4,40,5,0,11,0,1,0,14,5,0,0,0,0,0,0,0,0,9,0,6,247,3,0,4,6,0,0,0,23,1,69,129,0,0,1,0,0
 24-34,0,0,1.64,4.1,13.13,0,0,50.07,0,2.46,0,17.24,1.64,0,0.82,0,0.82,0,2.46,1.64,0.82,20.52,0,9.03,497.44,1.64,1.64,4.1,0,0,2.46,0,0,0.82,7.39,125.59,0,0,0,0,0
 36-46,0,0,0,0.81,5.64,0,0,189.33,0,1.61,1.61,33.03,1.61,0,0,0,0,0,4.83,0.81,0,16.11,0.81,10.47,661.45,0,0.81,3.22,0,0,0.81,0,0,0.81,0,162.75,0,0,0.81,0,0
 48-58,0,0,0,0.57,2.3,0,0,365.51,0,1.15,0.57,41.89,0,0,1.15,0,0,0.57,0,0.57,0,22.38,1.72,4.59,370.1,0,0,4.59,0,0.57,0,0,0,1.15,0,82.63,0,0,0,0,0
 60-70,0,0,0,0.98,5.89,0,0,589.89,0,1.96,0.98,53,1.96,0,0,0,0,0.98,1.96,0,0,19.63,1.96,0,217.9,0.98,0,2.94,0,0,1.96,0,0,0,0,47.11,0,0.98,0,0,1.96
 72-82,0,0,0.98,0,6.87,0,0,251.31,0.98,0.98,0.98,40.25,0.98,0,1.96,0,0,0,3.93,0,0,14.72,1.96,1.96,109.95,0,0,4.91,0,0,0,0,0,1.96,0,14.72,0,0,2.94,0,0
 84-94,0,0,1.06,0,6.37,1.06,0,199.66,0,6.37,3.19,43.54,4.25,0,0,0,1.06,2.12,2.12,1.06,0,11.68,0,1.06,105.14,0,1.06,4.25,0,0,2.12,0,0,1.06,0,11.68,0,1.06,1.06,0,1.06
 96-106,0,0,1.09,1.09,5.46,0,0,121.31,0,3.28,0,20.76,3.28,0,1.09,0,0,2.19,3.28,1.09,0,9.84,0,1.09,75.41,0,1.09,3.28,0,0,0,0,0,2.19,0,2.19,0,1.09,1.09,1.09,0
108-118,0,0,1.53,0,3.06,0,0.77,87.32,0,0,0.77,22.21,1.53,0,0,1.53,0.77,5.36,0,0.77,0,13.02,0,4.6,70.47,0.77,0.77,6.13,0,0,1.53,0,0,3.06,0,4.6,0.77,0,0.77,0.77,0
120,0,0,0,0,13.72,1.96,0,80.35,0,3.92,3.92,27.44,5.88,0,0,0,0,0,1.96,0,0,5.88,1.96,1.96,64.67,0,3.92,3.92,0,0,1.96,0,0,5.88,0,3.92,1.96,0,0,0,0
