stage,blastomeres,epidermis,erythrocytes,eye,glial,gut,immune,iridophores,mesenchyme,mucous,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,pronephros,spinal.cord,vasculature,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,3.15,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,19.7,0,0,0,0,0,0.82,0,0
 36-46,0,0,0,0.81,8.86,0,0,0,0,0,0,15.31,0,0,0,0,0,0,0,0
 48-58,0,0.57,0,4.02,39.02,0,0,0.57,1.15,0,0,19.51,0,0,0,0,0,0.57,0,0
 60-70,0,0.98,0,4.91,57.91,0,0,0,2.94,0,0,12.76,0.98,0,0,0,0,4.91,0,0
 72-82,0,1.96,0.98,6.87,48.1,0,0,0,4.91,0.98,0.98,22.58,0,1.96,0,0.98,0,1.96,0,0.98
 84-94,0,1.06,1.06,6.37,13.81,0,0,1.06,1.06,0,0,19.12,0,1.06,0,1.06,0,0,2.12,0
 96-106,0,2.19,0,7.65,16.39,0,0,0,7.65,0,0,6.56,0,1.09,0,2.19,0,0,2.19,0
108-118,0,0,0,5.36,19.15,0.77,0.77,0,1.53,0,0.77,9.96,0,0,0,0,0,0.77,0,0
120,0,5.88,0,9.8,19.6,0,0,0,7.84,0,0,15.68,0,0,0,0,0,0,0,0
