stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,289.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,98.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,34.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.51,5.26,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,28.32,0,3.15,0,0,0,295.82,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,881.15,0,0,0,37.76,3.15,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,503,4,0,44,0,1,0,2,0,1,0,0,0,0,0,0,11,1,0,2,979,0,50,1,1,16,5,1,3,5,28,0,0,0,0,0
 24-34,0,0,0,0,175.66,1.64,0,10.67,0,22.98,0,17.24,0.82,0,0,0,4.93,0,0.82,0,18.88,1.64,0,2.46,836.45,0,55.82,0,0,30.37,0.82,0,0,0.82,39.4,0,0,0.82,0,0
 36-46,0,0,0,0,52.37,1.61,0,7.25,0,29,0,34.64,0,0.81,0.81,0.81,1.61,0,0,0,4.83,0.81,0,2.42,560.75,0.81,24.17,0,0,39.48,0,0,0.81,0,23.36,0,0,0.81,0,0
 48-58,0,0,0,0,33.28,0,0,23.53,0,29.84,0,35,1.15,0,0,0,1.72,0.57,0,0,8.61,1.72,0,1.15,389.61,0,9.18,0,0,71.73,0,0,0.57,0,21.8,0,0,0,0,0
 60-70,0,0,0,0,31.41,0,0,18.65,0,35.33,0.98,36.32,0.98,1.96,0.98,0,2.94,0,0,0,3.93,0.98,0.98,0,227.71,0,3.93,0,0,136.43,0,0,0,0,5.89,0,0,0,0.98,0
 72-82,0,0,0,0,29.45,0.98,0,26.5,0,41.23,0.98,56.94,1.96,0.98,0,0,7.85,0,0.98,0,9.82,0,0,1.96,249.34,0,6.87,0,0,157.07,0,0,0,0,4.91,6.87,0.98,0.98,0,1.96
 84-94,0,0,0,0,52.04,1.06,0,27.61,1.06,91.34,0,38.23,4.25,1.06,0,0,7.43,2.12,0,0,14.87,4.25,1.06,0,157.18,0,7.43,0,0,369.59,0,0,0,0,4.25,19.12,0,0,0,1.06
 96-106,0,0,1.09,0,45.9,3.28,0,15.3,0,86.33,0,43.71,4.37,1.09,0,0,4.37,4.37,0,0,7.65,3.28,0,0,147.53,0,13.11,0,0,384.68,0,0,0,0,1.09,33.88,0,0,0,0
108-118,0,0,0,0,36.77,0,0.77,13.02,0,124.09,0.77,33.7,2.3,0,0,0.77,6.89,4.6,0.77,0,8.43,3.06,0,0,149.36,0.77,13.02,0,0,199.92,0,0,0,0,0.77,22.98,0,0.77,0.77,0.77
120,0,0,0,0,33.32,0,0,13.72,0,92.11,0,45.08,0,0,0,1.96,3.92,3.92,0,1.96,3.92,0,0,0,150.9,1.96,5.88,1.96,0,156.78,0,0,0,0,1.96,5.88,0,0,0,0
