stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,3,25,9,0,13,0,0,0,2,4,0,2,0,0,0,0,0,0,13,0,0,12,253,5,0,6,5,0,0,6,4,3,10,88,0,0,3,0,0
 24-34,0,4.93,19.7,0,0,78.8,0,4.1,0,18.88,1.64,0,1.64,0,0,0,2.46,1.64,0.82,47.61,0,0,18.88,518.78,1.64,1.64,9.85,0,0,0.82,0,3.28,6.57,6.57,152.68,0,0,18.06,0,0
 36-46,0,0.81,9.67,0.81,0,128.91,4.83,0,2.42,41.89,2.42,0,0.81,0.81,0,0,2.42,1.61,2.42,55.59,0,3.22,16.11,443.12,4.03,1.61,7.25,0,0,5.64,0,0.81,4.83,0,137.77,0,0,9.67,0,0.81
 48-58,0,0.57,7.46,0.57,0,177.31,2.87,1.15,0.57,70,2.3,0,1.15,0.57,0,0,2.3,0,1.72,69.43,0,3.44,8.03,214.6,3.44,1.72,12.05,0,0.57,0,0,0,1.15,0,74.02,0,0,5.74,0,2.3
 60-70,0,0,8.83,0,0,307.22,0,4.91,2.94,72.63,2.94,0.98,0,1.96,0,0.98,0,0.98,3.93,89.32,0,5.89,4.91,215.93,4.91,0.98,12.76,0,0.98,2.94,0,2.94,0.98,0,47.11,0,0.98,8.83,0,3.93
 72-82,1.96,0,9.82,0.98,0,270.94,3.93,2.94,6.87,88.35,10.8,0,3.93,2.94,0,0,4.91,0,0,117.8,1.96,6.87,9.82,191.42,3.93,2.94,21.6,0,1.96,2.94,0,1.96,0,0,17.67,0.98,2.94,12.76,4.91,3.93
 84-94,2.12,0,19.12,0,0,209.22,0,7.43,5.31,50.98,20.18,0,2.12,6.37,1.06,3.19,6.37,1.06,3.19,83.9,0,2.12,6.37,111.51,6.37,2.12,35.05,0,1.06,10.62,0,4.25,1.06,0,11.68,6.37,2.12,8.5,5.31,5.31
 96-106,2.19,0,14.21,0,2.19,137.7,1.09,4.37,3.28,41.53,16.39,0,5.46,6.56,2.19,0,15.3,0,2.19,68.85,1.09,2.19,2.19,79.78,2.19,1.09,43.71,0,2.19,12.02,0,1.09,2.19,0,14.21,0,1.09,13.11,1.09,5.46
108-118,1.53,0,25.28,0.77,1.53,146.3,2.3,3.06,3.83,39.06,25.28,0,0.77,4.6,3.06,0,7.66,0.77,2.3,52.09,0,4.6,2.3,111.83,3.06,3.83,31.4,0,1.53,2.3,0,3.06,6.89,0,6.13,1.53,3.83,13.02,2.3,6.13
120,0,0,33.32,0,0,113.67,0,3.92,1.96,50.95,37.24,0,1.96,3.92,3.92,0,13.72,1.96,1.96,50.95,0,0,9.8,117.59,13.72,0,35.28,0,1.96,3.92,0,0,0,0,3.92,1.96,1.96,11.76,5.88,1.96
