stage,blastomeres,endoderm,epidermis,eye,fast.muscle,fin.mesenchyme,glial,melanocytes,mesenchyme,mural.cell,neural,olfactory,otic,periderm,spinal.cord,vasculature,xanthophores
  5-6,6.13,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,11.49,0,0,0.82,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,37.87,1.61,0,0.81,0.81,0,0
 48-58,0,0,0,2.87,0,0,0.57,0,0.57,0,44.76,1.72,0,0,1.72,0,0
 60-70,0,0,0,1.96,0,0.98,0,0,0.98,0,49.08,1.96,0,0,0.98,0,0
 72-82,0,0,0,9.82,0.98,0,3.93,0,0,0,78.53,7.85,0,0,4.91,0,0
 84-94,0,0,0,5.31,0,0,5.31,0,0,0,57.35,11.68,0,0,2.12,0,0
 96-106,0,0,1.09,5.46,0,0,1.09,0,0,1.09,43.71,14.21,0,0,1.09,0,1.09
108-118,0,0.77,0,3.06,0,0,2.3,0.77,0.77,0,50.55,9.96,0,0,0,0,0
120,0,0,0,3.92,0,0,3.92,0,0,0,43.12,5.88,1.96,0,0,1.96,0
