stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,368.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.53,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,208.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,15.77,0,15.77,0,0,31.54,0,0,0,0,0,0,0,0,0,0,0,0,0,268.13,18.4,0,0,110.41,0,2.63,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,9.44,0,9.44,0,0,22.03,0,0,0,0,0,0,0,0,0,0,0,0,0,374.49,22.03,0,0,113.29,0,3.15,12.59,0,18.88,0,0,0,0,0,0,0
 14-21,0,0,0,1,11,9,15,0,0,5,2,1,0,0,0,0,5,0,0,2,123,3,0,2,2,0,3,0,6,1,2,6,51,0,1,0,0
 24-34,0,0,0,0,3.28,0,22.98,1.64,0,7.39,0.82,0.82,0,0.82,2.46,0.82,8.21,0,0,4.1,178.95,0,1.64,2.46,0,0,10.67,0,0,0,0,2.46,40.22,0,0,0,0
 36-46,0,0,0,0.81,3.22,0,42.7,0,0,10.47,0,0.81,0.81,0,1.61,0,12.09,0.81,0,5.64,195.78,0,0.81,2.42,0,0,6.45,0,0,0,0,0,42.7,0,0.81,0,0
 48-58,0,0,0,0,2.3,0,71.73,0,0.57,12.05,0,0.57,1.15,0.57,0,0,13.77,0.57,2.3,7.46,107.3,1.72,3.44,1.72,0,0,6.89,0,0,0,0,0,22.95,0,1.15,0,0.57
 60-70,0,0,0,0,1.96,0,111.89,0,0,14.72,0,0.98,3.93,0.98,1.96,0,17.67,0,1.96,2.94,133.49,0,2.94,0.98,0,0,9.82,0,0,0,0,0,14.72,0,0.98,0,0
 72-82,0,0,0.98,0,4.91,8.83,50.06,0.98,0,8.83,0,0,0.98,0.98,0.98,0,11.78,0.98,0,1.96,98.17,0,1.96,2.94,0,0.98,8.83,0,0,0,0,0,6.87,0.98,0.98,0.98,0.98
 84-94,0,0,2.12,0,9.56,6.37,46.73,0,0,9.56,5.31,0,8.5,2.12,0,1.06,20.18,0,1.06,1.06,82.84,0,2.12,2.12,0,0,19.12,0,0,1.06,0,0,1.06,0,3.19,0,0
 96-106,0,0,0,0,4.37,6.56,26.23,0,0,6.56,4.37,0,6.56,2.19,3.28,1.09,16.39,2.19,0,0,63.39,0,2.19,2.19,0,0,13.11,0,0,0,0,0,2.19,0,0,1.09,0
108-118,0,0,0,0,5.36,5.36,21.45,0,0,10.72,3.83,0,3.83,3.06,5.36,0,7.66,0,1.53,0.77,67.4,0.77,2.3,2.3,0,0,13.79,0,0,0,0,0,1.53,1.53,0,0,0.77
120,0,0,0,0,11.76,0,43.12,0,0,3.92,0,1.96,7.84,1.96,1.96,1.96,1.96,1.96,0,1.96,109.75,1.96,3.92,0,0,0,25.48,0,0,0,0,0,3.92,0,1.96,0,0
