stage,axial,blastomeres,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,39.53,764.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0,0
  5-6,0,435.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.52,0,0,0,6.13,6.13,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.14,2.63,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.62,0,0,0,6.29,0,3.15,0,0,0,3.15,0,0,0,0,0
 14-21,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,4,0,0,0,0,0,0,2,0,0,10,3,0,0,0,0
 24-34,0,0,2.46,0,0,11.49,0,0,0,1.64,0,0,0,0,0,2.46,13.13,0,0,4.1,30.37,0,0,0,0,0,0,0,3.28,0,0.82,2.46,0,0,0,0.82
 36-46,0,0,0,0,0,8.86,0.81,0,0,0,0.81,0,0,0,0,0.81,10.47,0,0.81,3.22,51.56,0,0,0,0,0.81,0,0,0.81,0,0,1.61,0,0,0,0
 48-58,0,0,0.57,0,0,21.23,0,0,0,0,1.15,0,0,0.57,0,0.57,17.79,0,1.72,4.59,41.31,0,0,2.87,0,0,0,0,1.15,0,0,4.02,0,0.57,0,0.57
 60-70,0,0,0,0,0,29.45,0,0,0,3.93,0.98,0,0,0,0,0.98,36.32,0,0,1.96,61.84,0,0,0.98,0,0,0,0,0.98,0,0,0.98,0,0.98,0,0
 72-82,0,0,2.94,0,0,36.32,0,0,1.96,9.82,0.98,0,0,0,0,0.98,67.73,0,2.94,6.87,107.98,0,0,6.87,0,0.98,0,0,4.91,0.98,0,10.8,1.96,0,2.94,0
 84-94,0,0,5.31,1.06,0,36.11,0,0,0,12.74,1.06,0,0,0,1.06,2.12,50.98,0,1.06,3.19,66.91,0,0,2.12,0,1.06,1.06,0,7.43,0,0,1.06,0,1.06,1.06,0
 96-106,0,0,3.28,0,0,31.69,1.09,1.09,0,17.49,2.19,1.09,1.09,0,2.19,1.09,28.41,0,4.37,10.93,46.99,1.09,2.19,13.11,0,0,0,0,18.58,0,0,3.28,1.09,0,3.28,0
108-118,0,0,1.53,1.53,0,31.4,0,3.06,0.77,10.72,0.77,0,0,0,3.06,1.53,25.28,0.77,1.53,4.6,61.28,0,0,3.83,0,0,0,0,7.66,0,0,0.77,0,1.53,3.06,0
120,0,0,3.92,0,1.96,21.56,0,1.96,0,13.72,1.96,0,0,0,5.88,0,19.6,0,0,5.88,82.31,0,1.96,0,0,0,0,0,15.68,0,0,1.96,0,1.96,3.92,0
