stage,endocrine.pancreas,endoderm,erythrocytes,eye,fin.epithelia,glial,gut,immune,ionocyte,lateral.line,mesenchyme,neural,olfactory,otic,paraxial.mesoderm,pronephros,spinal.cord,taste
 10-12,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0
 14-21,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,7,0
 24-34,0,0,0,0,0,2.46,0,0,0,0,0.82,1.64,0,0,0,1.64,5.75,0
 36-46,0,0,0,0,0.81,0,0,0,0,0,0.81,3.22,0.81,0,0,2.42,6.45,0
 48-58,0,0,0,0,0,2.3,0,0,0,0,0,4.02,2.3,0,0,0,8.61,0
 60-70,0,0,0,0,0,2.94,0,0,0,0,0,0.98,1.96,0,0,0,2.94,0.98
 72-82,0,0,0,0,0,6.87,0,0,0,0.98,0,0.98,2.94,0.98,0,0,0.98,0
 84-94,0,0,0,0,0,0,0,0,1.06,0,2.12,2.12,1.06,0,0,2.12,1.06,0
 96-106,0,0,0,1.09,0,0,2.19,1.09,1.09,0,2.19,0,3.28,0,0,0,2.19,0
108-118,0.77,0,0,2.3,0.77,0.77,0.77,0,0.77,0.77,0,2.3,2.3,0,0,0,0,0
120,0,0,0,0,0,0,0,0,0,0,0,3.92,3.92,1.96,0,0,0,0
