stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,92.25,711.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.53,0,0,0,0,0,0,0,0,0,0,0
  5-6,42.91,459.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,6.13,0,0,6.13,6.13,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,7.89,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60.46,5.26,0,0,26.29,2.63,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.91,3.15,0,0,22.03,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,68,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,6,3,0,1,0,2,1,4,0,0,5,8,0,0,1,0,0
 24-34,0,0,0,78.8,0.82,0,0,4.93,0,1.64,0,0,0,0,0.82,0,0.82,0,0,9.85,0.82,0,6.57,17.24,0,4.93,0.82,0,26.27,0,0,1.64,0.82,1.64,3.28,0,0,4.1,0,0
 36-46,0,0,0.81,43.51,0,0,0.81,5.64,2.42,0,0,0,1.61,0,0.81,0,3.22,0,0,24.17,0,0,7.25,20.95,1.61,4.83,2.42,0,27.39,0.81,0,1.61,0,0,8.06,0,0,3.22,0,0
 48-58,0,0,0,41.31,0,0,2.87,17.21,1.72,0,1.15,1.72,0,0,0,0,3.44,0,1.15,28.12,0.57,1.72,5.16,16.07,0,2.87,1.15,0,21.8,0,0,1.72,0.57,0,4.02,0,0,2.3,0,0.57
 60-70,0,0,0,40.24,0,0,5.89,14.72,0,0.98,2.94,0,0,0,0.98,0,3.93,0,1.96,68.71,0.98,0,4.91,14.72,0.98,6.87,1.96,0,37.3,0,0,3.93,0,0,4.91,0.98,0,2.94,0.98,0
 72-82,0,0,0,69.7,0.98,0,4.91,18.65,2.94,1.96,8.83,0.98,0,0,0,0.98,10.8,0,0.98,75.59,4.91,0.98,11.78,18.65,0,4.91,11.78,0,29.45,0,0,0.98,0,0,3.93,0.98,0,7.85,1.96,0
 84-94,0,0,0,129.57,2.12,0,8.5,39.3,0,1.06,9.56,0,0,0,5.31,0,10.62,0,1.06,61.6,3.19,5.31,5.31,6.37,2.12,9.56,4.25,0,67.97,0,0,0,0,0,0,1.06,0,11.68,3.19,2.12
 96-106,0,0,0,139.88,2.19,0,16.39,30.6,2.19,4.37,13.11,0,4.37,2.19,2.19,0,15.3,0,1.09,53.55,4.37,5.46,3.28,21.86,1.09,16.39,15.3,0,53.55,0,0,0,0,0,2.19,7.65,0,6.56,4.37,0
108-118,0,0,0.77,103.41,2.3,0,5.36,57.45,1.53,3.83,12.26,0,1.53,1.53,3.06,0,15.32,2.3,0.77,72,2.3,2.3,4.6,18.38,0,9.19,16.09,0,44.43,0,0,4.6,0,0,0.77,6.89,0.77,12.26,1.53,3.06
120,0,0,0,68.59,1.96,1.96,3.92,33.32,1.96,3.92,13.72,0,3.92,1.96,5.88,0,3.92,3.92,0,31.36,1.96,1.96,0,23.52,0,3.92,15.68,0,56.83,0,0,5.88,0,0,0,1.96,0,9.8,0,3.92
