stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,1,2,0,122,66,4,0,0,0,0,0
 24-34,0,0,3.28,0,4.93,178.13,0,0.82,2.46,0.82,1.64,0,0,0,0,0,0,6.57,0,0,29.55,69.77,0.82,0.82,1.64,0,0,4.1,0.82,0.82,116.56,93.58,19.7,0,0,2.46,0,0
 36-46,0,0.81,0.81,0,17.72,359.33,0.81,0,5.64,0,1.61,0.81,0,0,0,0,0.81,8.06,0,0.81,19.34,95.87,0.81,3.22,0.81,0,0,4.83,0,0.81,107.15,5.64,20.95,0,0,2.42,0,0.81
 48-58,0,0,2.3,1.15,32.71,267.39,0,1.15,4.02,0,0.57,0.57,0.57,0.57,0.57,0,0.57,17.21,0,0,11.48,80.33,0.57,0,0,0.57,0,4.59,0,0,77.46,0,14.35,0,0,1.15,0,4.02
 60-70,0,0,0.98,0,29.45,207.1,1.96,0.98,0.98,0,0,1.96,0,0.98,0.98,0.98,0,9.82,0,0,11.78,64.78,0,0,0,0.98,0,1.96,0,0,56.93,0,4.91,0,0,0,0,1.96
 72-82,0,0,1.96,3.93,32.39,89.33,0,0.98,5.89,0.98,0,0,0,0,1.96,0,0,13.74,0.98,1.96,8.83,45.16,0,0,0,0,0,1.96,0,0,29.45,0,3.93,0,0.98,0.98,2.94,4.91
 84-94,1.06,0,1.06,0,8.5,128.51,2.12,0,2.12,1.06,2.12,0,1.06,0,1.06,0,0,4.25,0,0,9.56,19.12,0,0,1.06,0,1.06,6.37,0,0,41.42,0,0,1.06,0,3.19,2.12,1.06
 96-106,0,0,3.28,5.46,20.76,147.53,2.19,0,3.28,1.09,0,1.09,2.19,1.09,1.09,1.09,0,13.11,0,0,8.74,16.39,1.09,2.19,1.09,0,0,5.46,0,0,39.34,0,0,0,1.09,2.19,7.65,1.09
108-118,0,0,1.53,0.77,7.66,101.11,0,0,2.3,0,0,1.53,0,0.77,0.77,0,0,3.83,0,0,10.72,12.26,0,0,0.77,0,0.77,1.53,0,0,26.04,0,1.53,0.77,1.53,0,3.06,0
120,0,0,1.96,0,3.92,70.55,1.96,0,1.96,0,0,0,0,0,0,0,0,0,0,3.92,13.72,5.88,0,0,0,0,0,0,0,0,9.8,0,0,0,1.96,0,0,0
