stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,26.36,882.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.53,0,0,0,0,0,0,0,0,0,0,0
  5-6,61.3,815.24,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.26,13.14,0,10.51,0,0,23.66,0,0,0,0,0,21.03,0,0,0,0,0,0,0,0,0,0,381.16,13.14,0,0,126.18,0,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,9.44,0,12.59,0,0,40.91,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,305.26,9.44,0,0,100.7,0,0,6.29,0,9.44,0,3.15,0,0,0,0,0,0
 14-21,0,0,0,4,19,5,13,0,0,0,6,1,0,0,0,0,0,0,0,1,18,0,20,188,3,0,5,6,0,0,0,33,2,1,30,56,0,0,2,0,0
 24-34,0,0,0,2.46,7.39,0,26.27,0,0,0,6.57,0,0,0,0,0.82,0,0.82,0,0.82,20.52,0,18.88,241.33,0.82,0.82,4.1,0,0,0,0,0,1.64,0,3.28,50.07,0,0,2.46,0,0.82
 36-46,0,0,0,0,1.61,0,24.17,0,0,0,12.09,0,0,0,0,0,0.81,0,0,0,20.14,0,5.64,171.61,0,0.81,1.61,0,0,0,0,0,0,0,0,32.23,0,0,0,0,0.81
 48-58,0,0,0.57,0,2.87,0,49.35,0,0,0.57,18.94,0,0,1.15,0,0,0,1.15,0,0,33.28,0.57,3.44,175.58,0.57,0,0,0,0,0,0,0,0,0,0,39.02,0,0,0,0,0
 60-70,0,0,0,0,0,0,52.02,0,0.98,1.96,11.78,0,0,0.98,0,0,0.98,0,0.98,0,28.46,0.98,4.91,135.45,0,0.98,1.96,0,0,0,0,0,0,0,0,12.76,0,0,2.94,0,0
 72-82,0,0,0,0,4.91,0.98,63.81,0.98,0,3.93,29.45,0.98,0.98,0.98,2.94,0,0,0.98,0,0,66.75,0.98,3.93,218.91,0,0,1.96,0,0,0,0,0,0,0,0,36.32,0.98,2.94,4.91,0.98,0
 84-94,0,0,0,0,3.19,0,38.23,0,0,1.06,6.37,0,0,1.06,4.25,2.12,3.19,0,0,0,40.36,1.06,4.25,82.84,2.12,0,0,0,0,0,0,0,0,0,0,16.99,0,1.06,4.25,0,0
 96-106,0,0,0,0,2.19,2.19,27.32,0,0,1.09,19.67,1.09,0,2.19,0,1.09,1.09,2.19,0,0,43.71,2.19,7.65,99.45,0,1.09,1.09,0,2.19,0,0,0,0,1.09,0,6.56,0,1.09,2.19,0,0
108-118,0,0,0.77,0,4.6,0.77,26.81,0,0.77,0.77,13.79,1.53,0,1.53,0,2.3,0.77,0,0,0.77,38.3,2.3,4.6,88.09,0.77,1.53,3.06,0,0.77,0,0,0,0,0,0,3.83,0.77,1.53,3.83,0,1.53
120,0,0,0,0,3.92,0,11.76,0,0,0,5.88,0,0,3.92,0,0,0,0,0,0,25.48,0,9.8,56.83,0,1.96,0,0,0,0,0,0,0,0,0,0,0,0,0,1.96,0
