stage,axial,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,1,0,2,63,14,0,24,0,0,0,8,1,2,2,0,1,0,0,0,3,27,1,0,21,191,5,4,1,5,0,32,25,4,2,22,54,0,0,1,0,1
 24-34,0,0.82,0,12.31,2.46,0,54.18,0,2.46,0.82,7.39,0.82,0,0.82,1.64,0,0,0,0,0.82,46.79,0,0,16.42,334.09,1.64,0.82,4.1,0,0,9.85,0,0,1.64,6.57,72.24,0,0,6.57,0,0
 36-46,0,0,0,7.25,4.83,0,86.21,0,0,2.42,8.86,0,0,0.81,0.81,0,0.81,1.61,0,0,20.14,0,0,4.03,230.42,3.22,1.61,0.81,0,0,9.67,0,0.81,0,0,39.48,0,0,1.61,0,0.81
 48-58,0,0,0,2.87,1.72,0,114.19,0.57,0.57,0.57,7.46,0.57,0,0,0,0.57,1.15,2.3,0.57,0,25.25,0.57,1.15,7.46,218.05,1.15,1.15,0.57,0,0.57,1.15,0,0.57,0,0,38.44,0,0,2.3,0,1.15
 60-70,0,0,0,6.87,0,0,82.45,0,1.96,0,7.85,1.96,0.98,0,1.96,0,0,0.98,0.98,0,26.5,0,0.98,1.96,141.34,0.98,0,0,0,0,2.94,0,0,0,0,15.7,0,0,1.96,0,0
 72-82,0,0,0,8.83,0.98,0,65.77,0,0,0.98,10.8,0.98,0,0,0.98,0.98,0,0,0,0,36.32,0,0.98,2.94,108.96,0,0.98,0.98,0,0,1.96,0,0,0,0,3.93,0,0,2.94,0,0
 84-94,0,1.06,0,13.81,2.12,0,44.61,0,0,3.19,5.31,2.12,0,0,4.25,1.06,0,1.06,0,2.12,33.99,0,6.37,2.12,72.22,2.12,0,2.12,0,0,10.62,0,1.06,0,0,6.37,0,1.06,3.19,0,0
 96-106,0,0,0,10.93,2.19,0,31.69,0,2.19,2.19,9.84,5.46,0,0,5.46,1.09,0,1.09,1.09,2.19,22.95,2.19,0,2.19,37.16,0,1.09,5.46,0,0,14.21,0,0,0,0,1.09,0,3.28,5.46,0,0
108-118,0,0.77,0,6.89,3.83,0.77,28.34,0,0,3.06,6.13,3.83,0,0.77,3.06,2.3,0.77,0.77,2.3,0.77,17.62,0,0,0.77,68.17,1.53,0.77,2.3,0,0.77,13.02,0,0,0,0,0,0.77,0.77,3.06,0.77,0
120,0,0,0,1.96,15.68,0,25.48,0,3.92,1.96,9.8,1.96,0,0,3.92,1.96,0,0,1.96,0,17.64,0,0,3.92,68.59,7.84,0,1.96,0,0,1.96,0,0,0,0,0,0,0,5.88,0,0
