stage,blastomeres,endoderm,epidermis,eye,fast.muscle,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,paraxial.mesoderm,pericytes,periderm,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,30.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89,5.26,0,5.26,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,3.15,0,6.29,0,0,0,0,0,0,0,0
 14-21,0,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,9,0,0,0,0,1,2,1,0,0,0,0
 24-34,0,0,1.64,1.64,0,0,0,0,0,0,0,0,0,0,0,0,17.24,0,0,0,0,0,0,4.93,0,0.82,0,0
 36-46,0,0,0.81,3.22,0,0.81,0.81,0,0,0,0,0,3.22,0,0,0.81,23.36,0,0,0,0,1.61,0,1.61,0,0,0,0
 48-58,0,0,0.57,6.31,0.57,0.57,2.3,0,0,0.57,0,0,1.15,0.57,0,0.57,14.35,0,0,0,0,0,0,2.3,0,0.57,0,0
 60-70,0,0,0,15.7,0,0,0.98,0,0,0.98,0,0,1.96,0,0.98,0.98,13.74,0,0,0,0,0,0,0.98,0,0,0,0
 72-82,0,0,0.98,8.83,0,0,1.96,0,0,0,0,0,4.91,0,0,1.96,12.76,0,0.98,0,0,0,0,0.98,0,1.96,0,0.98
 84-94,0,0,0,3.19,0,1.06,2.12,0,0,0,0,0,3.19,0,0,0,9.56,0,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,5.46,0,0,0,0,0,1.09,0,0,2.19,0,0,0,4.37,0,0,0,0,1.09,0,0,1.09,1.09,0,0
108-118,0,0,0,3.83,0,0.77,1.53,0.77,0.77,0,0.77,0.77,0.77,0,0.77,0,5.36,1.53,0,0,0.77,1.53,0,0,0,0.77,0.77,1.53
120,0,0,0,7.84,1.96,0,7.84,0,0,0,0,0,1.96,0,1.96,0,1.96,0,0,0,0,0,0,1.96,0,1.96,0,0
