stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,iridophores,lateral_line,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,65.89,421.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0
  5-6,18.39,159.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,13.14,0,0,5.26,0,0,0,0,2.63,0,0,0,0,0,0,0,92,5.26,0,0,39.43,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,12.59,0,6.29,12.59,0,0,0,0,0,0,0,0,0,0,0,0,75.53,0,0,0,37.76,0,0,6.29,0,0,0,0,0,0
 14-21,0,0,0,1,5,2,4,0,0,1,0,0,0,0,0,0,1,0,4,36,0,0,0,0,0,6,1,4,13,0,0,0,0
 24-34,0,0,0,0,2.46,0.82,8.21,0,0.82,0.82,0,0,0,0,0,0,4.93,0,3.28,61.56,0,0,2.46,0,0,0,0,0,18.06,0,0,0.82,0
 36-46,0,0,0,0,1.61,0,4.03,0,0,0,0,0,0,0,0,0,2.42,0,0,18.53,0,0,0,0,0,0,0,0,5.64,0,0,0,0
 48-58,0,0,0.57,0,0,0,9.75,0,0,3.44,0,0.57,0.57,0,0,0,1.72,0.57,2.87,28.12,0.57,0.57,0,0,0,0,0,0,5.74,0,0,1.15,0
 60-70,0,0,0,0,0,0,4.91,0,0,0.98,0,0,0,0,0,0,0.98,0,0,15.7,0,0,0,0,0,0,0,0,1.96,0,0,0,0
 72-82,0,0,0,0,0.98,0,15.71,0,0,3.93,0,0,0,0,0,0,10.8,0,0.98,27.49,0,0.98,0,0,0,0,0,0,0.98,0,0,1.96,0
 84-94,0,0,0,0,0,0,4.25,0,0,0,1.06,0,0,0,1.06,0,4.25,1.06,1.06,19.12,0,0,1.06,0,0,0,0,0,2.12,1.06,1.06,0,0
 96-106,0,0,0,0,0,0,9.84,0,2.19,7.65,1.09,0,0,0,1.09,1.09,14.21,0,1.09,19.67,0,1.09,2.19,0,1.09,0,0,0,0,0,0,0,1.09
108-118,0,0,0,0,2.3,0,5.36,0.77,0.77,0.77,0,0,0,0.77,0,0.77,8.43,0,1.53,15.32,0,0,1.53,0,0,0,0,0,1.53,0,0,1.53,0
120,0,0,0,0,0,0,1.96,0,0,0,0,0,0,0,0,0,1.96,0,0,0,0,3.92,0,0,0,0,0,0,0,0,0,0,0
