stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,210.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0,0,0
  5-6,24.52,367.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,7.89,10.51,0,2.63,0,0,0,15.77,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,170.87,13.14,0,0,63.09,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,6.29,0,0,0,18.88,0,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,141.61,9.44,0,0,34.62,0,3.15,3.15,12.59,0,0,0,0,0,0,0,0
 14-21,0,0,1,0,2,4,0,3,0,0,1,0,0,1,0,0,0,0,0,0,2,0,0,4,37,1,0,0,1,0,0,5,2,0,5,13,0,0,4,0,0
 24-34,0,0,0,0,4.1,0,0,5.75,0,0,0.82,0,0,0,0,0,0,0,0.82,0,3.28,0,0,0.82,82.09,2.46,2.46,0,0,5.75,0,0,0.82,0,0.82,19.7,0,0,5.75,0,0
 36-46,0,0,0.81,0,3.22,0.81,0,15.31,1.61,0.81,4.83,0,0,0.81,0,0,0,0,0,0,10.47,0,0,4.03,144.21,0.81,2.42,0,0,3.22,0,0,0,0.81,0,41.09,0,0,2.42,0,0.81
 48-58,0,0,0,0,3.44,0,0,24.1,1.15,1.15,10.9,0.57,0,0.57,2.3,0,0,0.57,0,0.57,15.49,0,0,2.87,107.88,3.44,2.87,0.57,0,2.87,0,0,0,0,0,26.4,0,0,3.44,0,0
 60-70,0,0,0.98,0,1.96,2.94,0,20.61,0,1.96,9.82,0,0,0,1.96,0,0.98,0,0,0,15.7,0.98,0.98,0,101.1,0,0,0,0,2.94,0,0,0,0,0,15.7,0,0,5.89,0,0.98
 72-82,0,0,0,0,1.96,27.49,0,37.3,0.98,1.96,14.72,1.96,0.98,0.98,2.94,0,0,1.96,0,0,32.39,0,0.98,3.93,98.17,0,1.96,3.93,0,3.93,0,0,0,0,0,6.87,0.98,0.98,11.78,0,0
 84-94,0,0,0,0,4.25,5.31,0,21.24,1.06,1.06,7.43,1.06,0,0,6.37,1.06,0,3.19,0,1.06,15.93,0,0,1.06,36.11,3.19,1.06,0,0,1.06,0,0,0,0,0,3.19,1.06,1.06,1.06,1.06,0
 96-106,0,0,0,0,7.65,31.69,0,24.04,2.19,0,13.11,2.19,0,0,5.46,2.19,1.09,1.09,0,0,17.49,0,3.28,2.19,77.59,0,5.46,1.09,0,10.93,0,0,1.09,0,0,3.28,0,3.28,12.02,1.09,1.09
108-118,0,0,0.77,0,4.6,14.55,0.77,21.45,2.3,0.77,9.96,0.77,0,0,9.19,0.77,0.77,0,0,0,12.26,0,1.53,3.83,55.15,1.53,2.3,2.3,0,8.43,0,0,0,0.77,0,2.3,0.77,0.77,6.89,0.77,0
120,0,0,0,0,5.88,19.6,1.96,9.8,3.92,0,3.92,1.96,0,0,11.76,0,1.96,0,0,1.96,9.8,1.96,1.96,1.96,54.87,3.92,0,1.96,0,3.92,0,0,0,0,0,0,0,0,11.76,0,0
