stage,blastomeres,epidermis,eye,glial,lateral_line,melanocytes,mesenchyme,mural_cell,neural,notochord,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,spinal_cord,visceral_smooth_muscle
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,2.63,0,2.63,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,9.44,0,0,0,0,3.15,0,0
 14-21,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0,0
 24-34,0,0.82,0,0.82,0,0,2.46,0,11.49,0,0,0,0,0,0,0
 36-46,0,0,1.61,0,0,0.81,1.61,0,4.83,0,0,0,0,0,2.42,0
 48-58,0,0,1.72,0.57,0,0,0.57,0,4.59,0,0,0,0,0,0,0
 60-70,0,0,3.93,0.98,0,0,0.98,0,4.91,0,0,0,0,0,1.96,0
 72-82,0,0,0.98,0.98,0,0,1.96,1.96,0.98,0,0,0,0,0,0,0
 84-94,0,0,3.19,0,1.06,0,5.31,0,3.19,0,0,0,0,0,0,0
 96-106,0,0,0,1.09,0,0,6.56,0,1.09,0,0,0,0,0,0,1.09
108-118,0,0,2.3,0.77,0,0,6.13,0,0,0,0,0,0,0,0,0
120,0,0,0,0,0,0,3.92,0,1.96,0,0,0,0,0,0,0
