stage,epidermis,erythrocytes,eye,fin_epithelia,glial,gut,immune,ionocyte,iridophores,lateral_line,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,olfactory,otic,pericytes,periderm,presomitic_mesoderm,pronephros,spinal_cord,vasculature,xanthophores
 14-21,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,1,1,0,1,1,0
 24-34,2.46,0,0.82,0,0,0,0,0,0,0,0,0.82,0.82,0,0,13.13,0.82,0,0,4.1,0,0,0.82,0.82,0
 36-46,0,0,0.81,0.81,0,0,0,0,0,0,0,0,0,0,0,4.83,0,0,0,3.22,0,0,0,0,0
 48-58,0,0,2.3,0,0,0.57,0.57,0,0,0,0.57,1.72,0,0,0,5.74,1.15,0,0,2.3,0,0,1.15,0.57,0.57
 60-70,0.98,0,0,0.98,0.98,0,0,0,0,0,0,0.98,0,0,1.96,7.85,0,0,0,1.96,0,0,0,0,0
 72-82,0,0,3.93,0.98,0.98,0,0,0,0,2.94,0,3.93,0.98,0,0,3.93,0,0,0,3.93,0,0.98,0,0.98,0
 84-94,4.25,0,2.12,1.06,0,0,10.62,0,0,0,0,1.06,0,1.06,0,4.25,0,1.06,0,10.62,0,0,0,2.12,2.12
 96-106,5.46,2.19,2.19,0,1.09,0,6.56,0,0,1.09,1.09,2.19,0,0,0,5.46,0,0,0,12.02,0,1.09,0,1.09,0
108-118,1.53,0.77,3.06,1.53,1.53,1.53,3.06,0.77,0.77,0,0.77,0,0,0,0,6.13,0,0,0.77,6.13,0,0,0,0,0
120,1.96,0,0,1.96,0,1.96,1.96,0,0,0,0,0,0,0,0,1.96,0,0,0,7.84,0,0,0,0,0
