stage,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,6.29,0,0,0,0,0,0,0,0,0,0
 14-21,1,11,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,4,0,0,0,0,124,1,0,0,1,0,0,0,0,0
 24-34,0,9.03,0,0,2.46,0,0.82,0,0,0,0,0.82,0,0,0,0,4.93,1.64,0,5.75,24.63,0.82,0,0,332.45,0,0.82,0.82,0,1.64,0,0.82,0,0
 36-46,0,7.25,0.81,0,0.81,0.81,3.22,0,0.81,0,0,0.81,0.81,0,0.81,0,10.47,4.83,0.81,4.83,21.75,0.81,0,0,404.45,0,0,8.86,0,4.03,0,0.81,0,0.81
 48-58,0,5.16,0,0,6.89,1.72,7.46,0,2.87,0.57,0.57,0.57,0,0,0.57,0.57,16.64,1.72,3.44,4.59,17.79,0,0,0.57,349.45,0,0,16.07,0,3.44,0,0.57,0,0.57
 60-70,0,6.87,0,0,6.87,1.96,11.78,0,0.98,0,0,0.98,0,0.98,0,0,21.59,0.98,3.93,8.83,10.8,0,0.98,0,262.07,0,0,14.72,0,2.94,0,0.98,0,0
 72-82,0,11.78,0,0,4.91,1.96,14.72,0,1.96,0,0,5.89,0.98,0,1.96,0.98,38.28,1.96,11.78,10.8,15.71,0,0,0,206.15,0,0,7.85,0,0,0,1.96,0,0
 84-94,0,13.81,0,0,6.37,5.31,33.99,0,3.19,0,0,9.56,0,0,0,0,20.18,2.12,2.12,5.31,8.5,1.06,0,0,442.87,0,0,3.19,0,1.06,0,0,0,0
 96-106,0,19.67,1.09,1.09,4.37,6.56,46.99,1.09,6.56,2.19,1.09,7.65,0,1.09,2.19,0,24.04,4.37,8.74,3.28,9.84,1.09,2.19,0,284.14,0,0,3.28,0,0,0,0,1.09,0
108-118,0,16.09,0,0,2.3,4.6,33.7,0,5.36,0.77,0,10.72,0.77,0,3.06,0,28.34,6.13,6.89,9.96,6.13,0,0,0,186.89,0,0,3.83,0,0.77,0.77,0.77,0.77,0
120,0,7.84,0,0,1.96,3.92,27.44,0,1.96,3.92,0,5.88,0,0,1.96,0,19.6,3.92,3.92,1.96,3.92,0,0,0,96.03,0,0,0,0,0,1.96,1.96,0,0
