stage,axial,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,15,101,33,0,116,0,0,0,12,3,3,0,0,2,0,0,1,0,64,0,0,53,682,21,1,8,29,8,118,2,0,180,197,0,0,1,0,0
 24-34,0,4.93,17.24,2.46,0,104.25,0,0,1.64,4.1,0.82,0.82,0.82,0,1.64,2.46,0,0.82,0,85.37,0.82,1.64,32.83,441.62,7.39,0,5.75,0,12.31,0,0,0,13.13,73.06,0,0,6.57,0,0.82
 36-46,0,0,4.83,0.81,0,64.45,3.22,0,2.42,4.03,3.22,0,0,0,0.81,0.81,0.81,1.61,0,69.29,0.81,2.42,33.03,178.05,3.22,1.61,1.61,0,2.42,0,0,0,0.81,29.81,0,0,3.22,0,0
 48-58,0,0.57,8.61,1.15,0,54.51,1.72,1.15,6.31,12.62,2.3,0,0,0,0,0,0,6.89,0,84.92,0.57,2.3,24.1,84.92,1.72,0,0.57,0,1.72,0,0,0,0,10.9,0,0,1.15,0.57,0.57
 60-70,0,0,3.93,0,0,27.48,0,0.98,2.94,4.91,7.85,0,0,0,0.98,0,0.98,7.85,0.98,54.97,0,0,16.69,54.97,6.87,0.98,0.98,0,2.94,0,0,0,0,1.96,0,0,1.96,0,0
 72-82,0,0,7.85,2.94,0,20.61,0.98,1.96,3.93,14.72,6.87,0,0,0,0.98,0.98,0,8.83,0,82.46,0,0.98,18.65,49.08,2.94,0,1.96,0,3.93,0,0.98,0,0,0,0,0,0,0,0
 84-94,0,0,6.37,5.31,2.12,25.49,0,0,6.37,7.43,12.74,0,0,0,1.06,1.06,0,27.61,0,54.16,0,2.12,21.24,39.3,0,0,4.25,0,4.25,0,1.06,0,0,2.12,1.06,0,1.06,0,0
 96-106,0,0,6.56,7.65,3.28,19.67,1.09,0,2.19,19.67,8.74,0,2.19,1.09,0,0,0,21.86,1.09,76.5,1.09,0,12.02,40.44,2.19,2.19,1.09,0,5.46,0,0,1.09,0,1.09,0,1.09,1.09,1.09,1.09
108-118,0,0,4.6,5.36,7.66,24.51,0,0,3.06,6.89,6.13,0,0,0,2.3,2.3,0.77,47.49,0,70.47,0,0.77,20.68,47.49,1.53,1.53,0,0,3.06,0,0,0,0,0.77,0,0,3.83,0,0
120,1.96,0,5.88,11.76,7.84,13.72,0,1.96,1.96,7.84,9.8,0,0,1.96,1.96,1.96,1.96,37.24,0,66.63,0,0,31.36,52.91,3.92,0,1.96,0,7.84,0,0,3.92,0,0,0,0,0,0,1.96
