stage,axial,blastomeres,endoderm,epidermis,eye,fin.epithelia,glial,ionocyte,iridophores,mesenchyme,mucous,muscle,neural,periderm,somites,spinal.cord
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0
 10-12,0,0,3.15,0,0,0,0,0,0,0,0,0,3.15,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,1,14,1,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0.82,2.46,57.46,0,0.82
 36-46,0,0,0,0.81,1.61,0.81,0,0,0,0.81,0,0,1.61,41.09,0,0.81
 48-58,0,0,0,0,1.15,0.57,0,0,0,0.57,0,0,1.15,18.94,0,0
 60-70,0,0,0,0,0.98,0,0.98,0,0.98,0,0.98,0,0,32.39,0,0
 72-82,0,0,0,0,0,0,0,0.98,0,0,0,0,0,35.34,0,0
 84-94,0,0,0,0,0,1.06,0,0,0,0,0,0,1.06,72.22,0,1.06
 96-106,0,0,0,0,0,1.09,0,1.09,0,0,0,0,0,69.94,0,0
108-118,0,0,0,0.77,0,0.77,0,1.53,0,0,0,0,0,39.83,0,0
120,0,0,0,0,0,0,0,3.92,0,0,1.96,0,0,86.23,0,0
