stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,26.36,158.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,153.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,2.63,0,0,13.14,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,60.46,2.63,0,0,31.54,0,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,22.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,132.17,6.29,0,0,25.18,0,0,0,0,6.29,0,0,0,0,0,0,0
 14-21,0,0,0,5,0,8,0,0,0,4,0,0,1,0,0,0,0,9,0,0,7,68,1,1,1,0,0,1,0,5,1,2,5,23,0,2,0,1
 24-34,0,0,0,1.64,0,9.03,0,0,0,0,0.82,0,0,0,0,0,0,8.21,0.82,0,5.75,63.21,0,0,0.82,0,0,4.93,0,0,0.82,0,0.82,17.24,0,3.28,0,0
 36-46,0,0,0,1.61,0,11.28,0,0,0.81,2.42,0,0,0.81,0,0,0,0.81,4.83,0.81,0,0.81,58.81,0,0,0.81,0,0,2.42,0,0,0.81,0.81,0,11.28,0,1.61,0,0
 48-58,0,0,0,0,0,9.18,0,0,0,6.31,0,0,0.57,0,0,0,0,9.75,0,0.57,1.15,16.64,0.57,0.57,0.57,0,0,0.57,0,0,0,0,0,6.31,0,1.15,0,0.57
 60-70,0,0,0,0,0,15.7,0,0,0,16.69,0,0,0.98,0,0,0,0,12.76,0,0,1.96,12.76,0,0,0,0,0,1.96,0,0,0,0,0,1.96,0.98,1.96,0,0
 72-82,0,0,0,0,0.98,3.93,0,0,0,8.83,0.98,0.98,0,0,0,0,0,23.56,0,2.94,1.96,22.58,0,0,0,0,0,0.98,0,0,0,0,0,2.94,2.94,0.98,2.94,0
 84-94,0,0,0,2.12,2.12,5.31,0,0,0,6.37,0,0,0,0,0,0,0,16.99,0,0,2.12,14.87,2.12,1.06,3.19,0,0,2.12,0,0,0,1.06,0,0,1.06,1.06,2.12,1.06
 96-106,0,0,0,1.09,1.09,6.56,0,0,1.09,6.56,1.09,0,1.09,1.09,0,1.09,0,21.86,1.09,1.09,2.19,10.93,1.09,0,0,0,0,2.19,0,0,0,0,0,2.19,0,6.56,5.46,1.09
108-118,0,0,0,4.6,0.77,3.83,0.77,0.77,0,14.55,1.53,0,0.77,0,0.77,0,0.77,13.79,1.53,0,1.53,11.49,0,0,3.06,0,0,1.53,0,0,0,0.77,0,0,0.77,1.53,3.83,0.77
120,0,0,0,3.92,0,5.88,1.96,0,0,9.8,1.96,0,1.96,0,0,0,0,1.96,0,0,0,23.52,0,0,0,0,1.96,1.96,0,0,0,0,0,1.96,0,0,3.92,0
