stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vasculature,xanthophores
  3-4,26.36,948.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.53,0,0,0,0,0,0
  5-6,79.69,1054.3,6.13,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,36.78,6.13,0,0,6.13,12.26,0,0,0,0,0,0
  7-9,7.89,15.77,18.4,0,0,49.95,0,0,0,0,13.14,0,0,0,0,0,0,0,0,0,0,0,344.36,23.66,0,0,107.78,0,0,0,0,0,0,0
 10-12,0,6.29,15.73,0,0,22.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,264.35,3.15,0,0,69.23,0,0,12.59,0,0,0,0
 14-21,0,0,0,8,1,0,0,0,3,2,0,0,0,0,0,0,0,1,2,0,0,4,35,0,0,0,1,2,1,0,5,19,1,0
 24-34,0,0,0,1.64,0,6.57,0,0,0.82,0,0,0,0,0,0,0,0.82,0,7.39,0,0,2.46,55.82,0,0.82,0,0,0,0,0,0.82,15.6,2.46,0
 36-46,0,0,0,0,0,6.45,0,0,2.42,0,0,0,0,0,0,0,0,0,0.81,0,0,0,59.62,0,0,0,0,0.81,0,0,0,8.06,0,0
 48-58,0,0,0,0.57,0,24.67,0.57,0,3.44,0,0,0.57,0,0,0,0,0,0,10.9,0,0,0.57,41.89,0,0,0.57,0,0.57,0,0,0,9.18,1.72,1.72
 60-70,0,0,0,0,0,18.65,0.98,0,1.96,0,0,0,0.98,0,0,0,0,0,4.91,0,0,0,31.41,0,0,0,0,0,0,0,0,3.93,0.98,0
 72-82,0,0,0,0.98,0,10.8,0,0,7.85,0,0,0.98,0.98,0,0,0.98,0,0,5.89,0,0,0.98,26.5,0,0.98,0,0,2.94,0,0,0,1.96,0.98,0
 84-94,0,0,0,1.06,0,6.37,1.06,0,4.25,0,0,0,0,1.06,1.06,0,0,1.06,7.43,0,1.06,2.12,10.62,0,0,0,0,0,0,0,0,2.12,1.06,1.06
 96-106,0,0,0,0,0,6.56,0,2.19,1.09,0,0,0,0,0,1.09,1.09,0,0,6.56,1.09,0,2.19,13.11,0,0,1.09,0,0,0,0,0,1.09,2.19,0
108-118,0,0,0,0.77,0,3.06,0,0.77,0.77,0,0,0,0,0,1.53,0,0,0,3.83,0,0,0,13.02,0,0,0,0,2.3,0,0,0,0,0,0
120,0,0,0,0,0,1.96,1.96,0,0,0,0,0,0,0,0,0,0,1.96,0,0,0,0,15.68,0,0,0,0,0,0,0,0,0,0,0
