stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,395.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,190.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.29,0,0,0,15.77,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,6.29,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56.65,12.59,0,0,597.92,0,0,25.18,3.15,0,78.67,0,0,0,0,0,0
 14-21,0,1,0,13,3,9,0,0,0,0,2,2,21,0,0,0,0,24,0,0,101,74,2,0,0,6,0,5,980,1,497,3674,13,0,0,1,0,0
 24-34,0,0,0,5.75,1.64,24.63,205.21,0,0.82,4.93,0,0,4.1,0.82,0,0,0,23.8,0,0,60.74,124.77,2.46,1.64,0.82,0,0,4.1,7.39,0.82,196.18,827.42,20.52,0,0,4.93,0,0.82
 36-46,0,0,0,0.81,0,13.7,294.87,0,0,0,0,0,3.22,0,0,0,0,22.56,0,0,56.4,109.57,0.81,1.61,0,0,0,5.64,0.81,0,91.85,36.26,16.92,0,0,1.61,0,0
 48-58,0,0,0,1.15,0,23.53,169.85,0,1.15,4.02,0.57,0,1.15,0,0,0.57,0,21.23,0,0.57,103.86,123.37,0,0.57,0.57,0,0.57,0.57,0,0,32.13,0.57,10.9,0,0.57,1.15,0,0
 60-70,0,0,0,0.98,0,25.52,105.02,0,1.96,3.93,0,0,1.96,1.96,0,0.98,0,32.39,0,1.96,65.76,72.63,0,0.98,0,0,0,0.98,0.98,0.98,20.61,0,2.94,0,2.94,0,1.96,0.98
 72-82,0,0,0,2.94,5.89,49.08,75.59,0,0,5.89,0,0,0,1.96,0.98,0,0,53.99,0,1.96,57.92,151.18,0,0.98,0,0.98,0,4.91,0,0,10.8,0,4.91,0,3.93,0.98,7.85,0
 84-94,0,0,0,4.25,1.06,29.74,94.52,0,0,4.25,2.12,0,4.25,1.06,0,0,1.06,36.11,0,4.25,52.04,93.46,0,1.06,0,0,0,10.62,0,0,12.74,0,1.06,0,1.06,3.19,5.31,1.06
 96-106,0,0,0,9.84,5.46,18.58,120.21,1.09,2.19,5.46,1.09,0,3.28,2.19,2.19,0,0,32.79,1.09,5.46,42.62,76.5,0,1.09,4.37,1.09,0,7.65,0,0,16.39,0,2.19,0,4.37,0,6.56,1.09
108-118,0,0,0.77,12.26,3.83,23.74,137.11,0,2.3,5.36,0,0,0.77,0,0,0,0.77,36.77,1.53,5.36,47.49,99.58,0.77,0.77,0.77,0,0,2.3,0,0.77,23.74,0,3.06,0.77,1.53,1.53,6.89,0.77
120,0,0,1.96,5.88,3.92,27.44,90.15,0,0,5.88,0,0,0,5.88,0,0,0,31.36,0,3.92,68.59,92.11,0,1.96,0,0,0,3.92,1.96,0,13.72,0,1.96,0,1.96,0,1.96,0
