stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,26.36,131.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,153.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.39,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,10.51,0,0,15.77,0,0,0,0,0,10.51,0,0,0,0,0,0,0,0,0,0,0,47.32,7.89,0,0,34.17,0,15.77,0,0,0,0,0,0,0,0,0,0
 10-12,0,9.44,9.44,0,3.15,15.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,261.2,3.15,0,0,34.62,0,9.44,0,12.59,0,0,0,0,0,0,0,0
 14-21,0,0,0,20,24,14,0,0,0,0,0,0,1,0,1,0,0,1,1,10,0,0,0,58,0,0,0,1,0,5,3,0,0,3,10,0,0,22,0,1
 24-34,0,0,1.64,4.93,2.46,13.13,0,0,7.39,0.82,0,0,4.1,4.93,5.75,1.64,0.82,0,7.39,13.95,0.82,0,4.1,64.85,0.82,1.64,0,0,0,105.89,0,1.64,0,0,13.95,0,0,86.19,0,0.82
 36-46,0,0,0,2.42,1.61,60.43,0,0.81,5.64,3.22,0,0,0.81,0.81,0,4.83,0,0,14.5,20.95,0.81,1.61,7.25,82.98,0.81,5.64,0.81,0,0,122.46,0,1.61,0,0,23.36,0,0,51.56,0,1.61
 48-58,0,0,0.57,2.3,0,148.04,0,1.15,10.9,6.89,0,0,3.44,3.44,1.15,15.49,1.15,0.57,17.21,32.71,1.15,0.57,5.16,149.19,0,1.15,1.15,0,0.57,111.32,0,0.57,0,0,22.38,0,0.57,61.4,0,2.3
 60-70,0,0,0,3.93,0,402.42,0.98,5.89,10.8,26.5,1.96,0,3.93,4.91,0.98,16.69,0,0,8.83,45.15,1.96,1.96,3.93,199.25,1.96,2.94,1.96,0,2.94,112.88,0,2.94,0,0,17.67,0,0.98,70.67,0.98,0.98
 72-82,0,0,0.98,14.72,1.96,480.03,3.93,2.94,18.65,39.27,5.89,0,0.98,11.78,0.98,19.63,0.98,0,12.76,79.51,1.96,1.96,6.87,175.72,0.98,8.83,7.85,0,0.98,123.69,0,2.94,0.98,0,5.89,0,1.96,115.84,5.89,2.94
 84-94,0,0,0,13.81,0,373.84,0,3.19,23.36,28.68,7.43,0,2.12,25.49,2.12,28.68,1.06,1.06,16.99,58.41,3.19,1.06,5.31,96.65,1.06,3.19,5.31,0,3.19,332.42,0,10.62,1.06,0,6.37,0,1.06,113.64,10.62,1.06
 96-106,0,0,0,32.79,4.37,324.58,6.56,5.46,14.21,33.88,8.74,0,3.28,25.14,5.46,21.86,2.19,0,16.39,65.57,1.09,2.19,2.19,86.33,4.37,10.93,13.11,0,4.37,278.68,0,6.56,0,0,4.37,0,1.09,108.19,9.84,0
108-118,0,0,0.77,22.98,2.3,232.09,6.89,6.13,9.96,19.15,15.32,0,1.53,27.57,4.6,34.47,0.77,1.53,20.68,45.96,3.06,0.77,6.89,114.13,3.06,3.83,7.66,0,2.3,169.28,0,8.43,0,0,4.6,0.77,1.53,100.34,9.19,1.53
120,0,0,0,35.28,1.96,194.02,9.8,11.76,11.76,21.56,19.6,0,3.92,27.44,1.96,19.6,1.96,1.96,7.84,52.91,3.92,1.96,15.68,143.06,3.92,0,5.88,0,1.96,156.78,0,19.6,0,0,1.96,0,1.96,101.91,9.8,0
