stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,2.63,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
 24-34,0,0,0.82,0,0,0,0,0.82,0,0,0,0,0,0,0,0.82,0,0,2.46,0,0,0,0,0,0,0,0.82,0,0,0
 36-46,0,0,0,0,0,0,0,0,0.81,0,0,0,0,0,2.42,0,0,0,3.22,0,0,0.81,0,0,0,0,4.83,0,0,0
 48-58,0,0,0,8.03,1.15,0,0,2.3,0,1.15,0,0,0.57,0,11.48,0,0,3.44,7.46,0,0,0.57,0,0,0,0,4.02,0,0.57,0
 60-70,0,0,0.98,2.94,0,0,0,10.8,0,0,0,0.98,0,0,12.76,0,0,0,2.94,0,0,0,0,0.98,0,0,2.94,1.96,0,0
 72-82,0,0,0.98,7.85,3.93,0,0.98,16.69,0,0,0,0,0.98,0,19.63,0,1.96,2.94,7.85,0,0,0,0,0,0,0,1.96,0,1.96,0
 84-94,0,1.06,3.19,11.68,3.19,1.06,0,8.5,3.19,0,2.12,0,1.06,1.06,18.05,0,1.06,1.06,13.81,0,1.06,3.19,0,0,1.06,1.06,1.06,0,0,1.06
 96-106,0,1.09,8.74,14.21,5.46,0,0,16.39,6.56,1.09,0,1.09,3.28,4.37,22.95,0,2.19,7.65,7.65,1.09,1.09,4.37,0,1.09,2.19,1.09,0,1.09,1.09,0
108-118,0,0.77,4.6,9.96,5.36,0.77,0,16.09,19.92,0,1.53,1.53,0.77,9.19,24.51,0,0.77,5.36,17.62,0.77,0,3.83,0,0,0,2.3,2.3,0,3.06,0
120,0,0,9.8,25.48,7.84,1.96,3.92,19.6,50.95,1.96,1.96,0,1.96,11.76,21.56,0,1.96,5.88,29.4,1.96,0,1.96,0,0,0,1.96,1.96,0,0,0
