stage,epidermis,eye,glial,ionocyte,mesenchyme,muscle,neural,olfactory,periderm,presomitic.mesoderm,somites,spinal.cord
 14-21,1,1,0,0,0,0,1,0,0,2,1,2
 24-34,0,0,0,0,0,0,2.46,0,0,0,0,0
 36-46,0.81,0,0,0,0.81,0,4.83,0,0.81,0,0,0.81
 48-58,0.57,0.57,0,0.57,0,0.57,3.44,1.15,0,0,0,0.57
 60-70,0,0.98,0,0,0,0,6.87,0,0.98,0,0,0
 72-82,0,1.96,1.96,0,0,0,5.89,0,0.98,0,0,0.98
 84-94,0,1.06,0,0,0,0,2.12,1.06,1.06,0,0,0
 96-106,1.09,0,1.09,0,0,0,2.19,0,0,0,0,0
108-118,0,0,0,0,0,0,0,0,1.53,0,0,0
120,0,0,0,0,0,0,1.96,0,1.96,0,0,0
