stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,olfactory,pericytes,periderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,13.18,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,0,0,1,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,2,0,0,0,2,1,2,3,0,0,0,0
 24-34,0,0,0,0,4.93,0,0,0,3.28,0,0,0.82,2.46,0,0,0,0,0,0,0,0,0,0,4.93,0.82,0,0,7.39,0,0,4.93,0,0,0,0
 36-46,0,0,0,0,2.42,0,0,0.81,3.22,0,0,0,2.42,0,0,0,0,0,0,0.81,0,0,0,4.03,0,0,0,5.64,0,0,0.81,0,0,0,0
 48-58,0,0,0,0,0.57,0,0,1.15,0.57,0,1.15,0,1.72,0,0,0,0,0,0,0.57,0,0.57,0.57,3.44,0.57,0,0,5.16,0,0,1.15,0,0,0,0
 60-70,0,0,0,0,1.96,0,0,0.98,0.98,0,2.94,1.96,0,0,0,0,0,0,0,0.98,0,0.98,0,7.85,0,0,0.98,3.93,0,0,0,0,0,0,0
 72-82,0,0,2.94,0,2.94,0,0,2.94,0.98,0,2.94,51.05,0.98,0,0,0.98,0,2.94,0,6.87,0,2.94,0,24.54,0,0,0,12.76,0.98,0,1.96,0,0.98,0,0.98
 84-94,0,0,1.06,0,4.25,0,1.06,1.06,0,0,3.19,98.77,0,1.06,1.06,0,0,6.37,1.06,4.25,0,3.19,1.06,8.5,0,2.12,2.12,31.86,0,0,1.06,0,0,0,1.06
 96-106,0,0,3.28,2.19,10.93,2.19,0,10.93,1.09,1.09,5.46,283.05,1.09,0,0,1.09,1.09,6.56,0,6.56,1.09,3.28,1.09,27.32,2.19,0,4.37,34.97,0,0,0,1.09,0,2.19,3.28
108-118,0,0,1.53,0.77,21.45,2.3,1.53,5.36,3.83,0.77,3.83,428.17,1.53,0.77,0,0,0,18.38,1.53,7.66,0,2.3,0.77,32.17,0.77,0,1.53,45.19,0,0,0,0,0,0.77,0.77
120,0,0,1.96,3.92,13.72,0,0,0,1.96,0,7.84,307.69,1.96,0,0,0,0,7.84,0,3.92,0,5.88,0,13.72,1.96,0,3.92,29.4,0,0,1.96,0,0,0,0
