stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,glial,gut,hatching_gland,immune,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vasculature
  3-4,118.6,1370.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0
  5-6,85.81,1912.45,6.13,0,0,0,0,0,0,0,0,0,0,0,42.91,6.13,0,0,6.13,24.52,0,0,0,0,0
  7-9,31.54,55.2,31.54,0,0,360.13,0,0,70.98,0,0,0,0,0,1932.1,28.92,0,0,591.46,2.63,0,0,0,0,0
 10-12,0,94.41,50.35,0,0,283.23,0,0,50.35,0,3.15,0,0,0,2278.41,59.79,0,0,821.36,0,9.44,97.56,12.59,6.29,0
 14-21,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1,0,1,2,0
 24-34,0,0,0,0,0,0.82,0,0,0,0,0,0,0,0,5.75,0,0,0.82,0,0,0,0,0.82,4.1,0
 36-46,0,0,0,0,0,3.22,0.81,0,0,0,0,0,0,0,8.86,0,0,0,0,0,0,0,0,1.61,0
 48-58,0,0,0,0,0,2.87,1.15,0,0,0,0,0.57,0,0,3.44,0,0.57,0,0,0,0,0,0,0,0
 60-70,0,0,0,0,0,1.96,0.98,0,0,0,0,1.96,0,0,2.94,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,0.98,0,0,0,0,0,0.98,0,1.96,1.96,0,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,1.06,0,1.06,0,0,0,1.06,0,0,0,0,1.06,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,2.19,0,0,0,0,0,1.09,1.09,0,1.09,0,1.09,0,0,2.19,0,0,0,0,1.09
108-118,0,0,0,0,0,1.53,0.77,1.53,0,0,0,2.3,0,0,1.53,0,0,0,0,0,0,0,0,0,0
120,0,0,0,0,1.96,1.96,1.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
