stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,glial,gut,hatching.gland,immune,lateral.line,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,9.44,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,1,0,0,1,8,0,0,0,0,0,1,7,1,0,0,0,0,0,2,3,2,1,24,0
 24-34,0,0.82,0,0,0,1.64,9.03,0,0,0,0,0,0,22.16,0,5.75,1.64,0,0,0,0,1.64,0,0.82,28.73,0
 36-46,0,1.61,0,0,0,3.22,1.61,0,0,0,0,0.81,0,45.92,0,4.83,0.81,0,0,0.81,0,1.61,0,0,15.31,0
 48-58,0,0,0,0,0,16.07,2.3,0,0,0,0.57,1.15,0,33.28,0,2.3,2.3,0,0,0,0,0.57,0,0,10.9,0
 60-70,0,0,0,0,0,37.3,1.96,0,0,0.98,0.98,0,0,69.69,0,8.83,1.96,0,0.98,0,0,0.98,0,0,6.87,0
 72-82,0,0,0,0.98,0,42.21,15.71,0.98,0.98,0,2.94,2.94,0,92.28,0,18.65,3.93,0,0,0,0,0,0,0,4.91,0
 84-94,0,1.06,0,1.06,1.06,42.48,8.5,0,1.06,1.06,2.12,4.25,0,63.72,0,6.37,11.68,0,0,0,0,0,0,0,4.25,0
 96-106,0,3.28,0,2.19,1.09,17.49,10.93,0,0,1.09,5.46,0,1.09,59.01,0,16.39,9.84,0,1.09,0,0,0,0,0,9.84,0
108-118,0,0.77,0,0,0,19.15,5.36,1.53,0,0,2.3,0,0,88.85,0,13.02,6.89,0,0,0,0,0.77,0,0,6.13,0
120,0,0,0,0,0,5.88,5.88,1.96,0,1.96,7.84,0,0,99.95,0,15.68,13.72,0,0,0,0,1.96,0,0,3.92,1.96
