stage,axial,blastomeres,epidermis,eye,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,iridophores,mesenchyme,muscle,neural,notochord,olfactory,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,spinal.cord,vasculature
  3-4,13.18,184.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.53,0,0,0,0
  5-6,18.39,380.04,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,12.26,0,0,0,0
  7-9,2.63,0,0,10.51,0,0,0,5.26,0,0,0,0,0,76.23,2.63,0,44.69,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,22.03,0,0,12.59,0,0,0,0,0
 14-21,0,0,0,2,0,0,0,0,0,0,0,0,0,16,0,0,2,2,2,1,5,0
 24-34,0,0,2.46,1.64,0,0.82,0,0,0,0,0,3.28,0,18.06,0.82,0,0,0.82,0,0,4.1,0.82
 36-46,0,0,0,4.03,0,0,0,0,0.81,0,0,0.81,0,6.45,0,0.81,0,0,0,0,1.61,0
 48-58,0,0,0,5.16,0,0,0,0,0,0,0.57,1.15,0.57,4.59,0,0,0,0.57,0,0,0,0
 60-70,0,0,0,3.93,0,0,0,0,0,0,0,0.98,0.98,1.96,0,0,0,0,0,0,0,0
 72-82,0,0,0,2.94,0,0.98,0,0,0,0,0,0,0,1.96,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,0,0,0,0,0,0,0,0,1.06,0,1.06,0,0,0,0,0,0
 96-106,0,0,0,0,1.09,0,0,0,0,1.09,0,0,0,1.09,0,0,0,0,0,0,0,0
108-118,0,0,0,0.77,0,0,0.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120,0,0,1.96,0,0,0,0,0,0,1.96,0,0,0,3.92,0,0,0,0,0,0,0,0
