stage,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,15,0,0,0,0
 24-34,0,0,0,0,4.1,0,0,0,0,0,0,0,0,0,0,0,0,0.82,0,0,0,90.29,0,0,0,0,0,36.94,0,0,0,0
 36-46,0,0,0,0,1.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,282.79,0,0.81,0,0,0,49.15,0,0,0,0
 48-58,0,0.57,0,0,18.94,0,0,0,3.44,0,0,0,0.57,0,0.57,0,0,5.74,0,0,0,461.91,0.57,1.15,0,0,0.57,49.92,0,0,0,0.57
 60-70,0,0.98,0.98,0,139.38,0,0,0,3.93,0,0.98,0,0,0,0,0.98,0,5.89,0.98,0,0,1031.58,0,3.93,0,0,0.98,101.1,0,1.96,0,0
 72-82,0.98,4.91,0,0,474.14,0.98,0,0.98,36.32,0.98,0,0,0,0,0,0.98,0,25.52,0.98,1.96,2.94,1200.57,0,7.85,1.96,0,0.98,78.53,0,1.96,0.98,0.98
 84-94,0,11.68,1.06,0,270.82,1.06,0,0,25.49,2.12,1.06,2.12,0,0,1.06,0,2.12,6.37,0,0,0,563.94,0,2.12,0,0,3.19,45.67,0,1.06,0,1.06
 96-106,0,6.56,3.28,0,269.93,0,1.09,0,21.86,0,0,1.09,0,0,0,0,0,16.39,0,1.09,1.09,547.52,1.09,5.46,0,2.19,0,20.76,1.09,0,0,1.09
108-118,0,3.83,0,1.53,199.92,0,0,0,16.85,0,0,0,0,0.77,0,0.77,0,7.66,0.77,0,0.77,723.07,0,4.6,0,0,0.77,18.38,0.77,0.77,3.83,0
120,0,7.84,1.96,0,160.7,0,0,0,11.76,1.96,0,1.96,0,0,0,0,0,7.84,0,1.96,1.96,742.76,0,3.92,0,0,0,27.44,0,0,0,0
