stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,289.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0
  5-6,0,318.74,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,5.26,0,0,15.77,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,94.63,0,0,0,18.4,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56.65,9.44,0,0,12.59,0,0,3.15,0,9.44,0,3.15,0,0,0,0
 14-21,0,0,0,2,12,3,0,0,0,0,36,2,0,7,0,0,0,0,0,7,0,2,28,1,0,6,3,0,0,0,3,12,1,71,0,0,0,0
 24-34,0,0,0,0,6.57,0,2.46,0,0,0,19.7,0,0,0,0,0,0,0,0,1.64,0,1.64,22.98,0.82,5.75,4.1,0,0,0,0,0,6.57,1.64,42.68,0,0,0,0
 36-46,0,0,0,0,0.81,0,4.03,0,0,0,16.11,0,0,0,0.81,0,0,0.81,0,8.86,0,3.22,31.42,0,4.83,0.81,0,0,0,0,0,3.22,0,25.78,0,0,0,0
 48-58,0,0,0,0,1.15,0,6.89,0,0,0,12.62,0,0,0,0,0,0,0,0,13.77,0,0.57,41.31,0.57,1.72,0.57,0,0,0,0,0,2.3,0,26.97,0,0,0,0
 60-70,0,0,0,0,0.98,0,14.72,0,0,0.98,7.85,0,0,0.98,0,0,0,0.98,1.96,10.8,0.98,0.98,36.32,0,2.94,2.94,0,0.98,0,0,0,0.98,0,10.8,0,0,0,0
 72-82,0,0,1.96,0,0.98,0.98,14.72,0,0,0,13.74,0.98,0,0,0,0,0,0.98,0.98,16.69,0,1.96,28.47,0,5.89,3.93,0,0,1.96,0,0,5.89,0,12.76,0,0.98,0,0.98
 84-94,0,0,1.06,0,2.12,0,6.37,0,0,1.06,9.56,2.12,0,0,0,1.06,0,0,2.12,16.99,2.12,0,20.18,0,2.12,8.5,0,0,0,0,0,15.93,0,7.43,1.06,0,0,0
 96-106,0,0,3.28,0,2.19,1.09,8.74,0,1.09,0,9.84,0,0,0,0,0,0,0,12.02,19.67,0,2.19,19.67,0,12.02,3.28,0,0,2.19,0,0,33.88,0,5.46,0,0,1.09,0
108-118,0,0,0,0,6.13,0,8.43,0.77,0,0.77,9.19,1.53,0,0,0.77,0,0.77,0.77,21.45,22.21,0,1.53,39.83,0,7.66,9.19,0,0,0,0,0,31.4,0,8.43,0,0.77,0.77,0
120,0,0,0,0,0,0,0,0,0,1.96,1.96,0,0,0,1.96,0,0,1.96,11.76,5.88,0,0,13.72,0,0,0,0,0,0,0,0,13.72,0,0,0,0,0,0
