stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pronephros,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0
  5-6,0,36.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,2,0,0,0,0,0,0,0,1,0,1,0,26,0,0,13,0,0,4,0,1,1,0,0,0,0,6,0,0,0,0,0,0,0,0
 24-34,0,0,0,0.82,7.39,0,0,0.82,0,0.82,0,0.82,0,0,0.82,0,89.47,0,0,14.78,3.28,0,18.06,0,0,13.13,0,0,0,0,119.02,0,0,0.82,0,0,0,0,0.82
 36-46,0,0,0,0,2.42,0,0,1.61,0,0,0,0,0,0.81,0.81,0,43.51,0,0,8.86,22.56,0,10.47,0,0,17.72,0,3.22,0,0,201.42,0,1.61,3.22,0,0,0,0,3.22
 48-58,0.57,0,0,0,2.87,0,0,5.74,0,5.16,0,2.3,0,12.05,0,0.57,16.07,0.57,0.57,2.3,13.2,3.44,6.89,0,0.57,17.79,0,6.31,0,0,262.23,0.57,0,1.15,0,0,0,0,12.05
 60-70,0,0,0,0,12.76,0,0,8.83,0,1.96,0,0.98,1.96,12.76,0,6.87,24.54,0,1.96,5.89,1.96,3.93,12.76,0,0,11.78,0,11.78,0,0,408.31,0,0.98,0.98,0,0,0.98,0,21.59
 72-82,0,0,5.89,0,54.97,1.96,0.98,13.74,0,10.8,0,6.87,5.89,5.89,0,12.76,68.72,2.94,0,103.07,1.96,15.71,12.76,0.98,0.98,54.97,0.98,29.45,1.96,0.98,805.94,0,0,3.93,9.82,0,1.96,0,23.56
 84-94,0,0,3.19,1.06,137,3.19,0,11.68,0,47.79,4.25,1.06,8.5,14.87,0,14.87,117.89,9.56,0,361.09,4.25,9.56,27.61,0,0,26.55,0,25.49,0,0,2246.21,1.06,1.06,1.06,18.05,0,4.25,0,18.05
 96-106,0,0,9.84,1.09,319.11,7.65,2.19,51.36,0,80.87,3.28,15.3,30.6,0,1.09,50.27,182.51,14.21,5.46,667.73,2.19,40.44,52.46,1.09,4.37,178.13,0,69.94,5.46,3.28,3026.09,3.28,1.09,3.28,42.62,1.09,5.46,4.37,15.3
108-118,0,0,3.06,0,362.3,2.3,2.3,30.64,0,174.64,5.36,10.72,41.36,0,0,31.4,196.85,32.17,6.13,1337.37,2.3,26.04,67.4,1.53,4.6,129.45,1.53,54.38,3.06,0.77,3004.87,2.3,3.06,3.83,61.28,1.53,1.53,3.06,33.7
120,0,0,9.8,0,276.33,3.92,0,23.52,3.92,84.27,3.92,7.84,27.44,0,0,52.91,94.07,7.84,3.92,656.53,1.96,9.8,41.16,0,5.88,97.99,1.96,37.24,3.92,0,1848.08,0,1.96,1.96,25.48,0,5.88,3.92,7.84
