stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,254.9,0,0,0,3.15,0,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,0,3180,5,0,35,0,29,0,1,1,9,0,0,25,0,1,0,0,6,18,0,5,62,2,2,1,2,0,8,8,0,1,13,25,0,0,0,0,1
 24-34,0,0,2.46,2079.23,0,0,32.01,0,157.6,1.64,3.28,0.82,2.46,0.82,0,4.1,0,5.75,2.46,3.28,32.83,36.12,0.82,21.34,306.18,2.46,8.21,2.46,0,0.82,22.98,0,2.46,0.82,9.03,42.68,0,0,5.75,0,0.82
 36-46,0,0,0,1184.33,0,0,20.14,0,203.83,1.61,4.03,0,0,0.81,0.81,8.06,0,0.81,0.81,0,18.53,18.53,0.81,4.03,189.33,2.42,9.67,0,0,0,9.67,0,0.81,0.81,0,29,0,0,0.81,0,0.81
 48-58,0,0,0,1069,0,0,52.22,0.57,270.26,1.72,9.75,0,0.57,0,0,1.72,0.57,0.57,0.57,1.15,28.69,12.05,0,3.44,164.68,0.57,6.89,2.3,0,0.57,5.74,0,0,0.57,0,29.26,0,0,1.15,0,6.31
 60-70,0,0,0,1136.6,1.96,0,63.8,0.98,277.77,3.93,4.91,5.89,0,0,0.98,7.85,0,4.91,2.94,0,27.48,19.63,0.98,3.93,115.82,0.98,8.83,1.96,0,0,6.87,0,1.96,0,0,14.72,3.93,0,1.96,0.98,1.96
 72-82,0,0,0.98,1154.43,4.91,0,80.5,0,262.1,2.94,26.5,11.78,0,0.98,0,12.76,0,1.96,0,0.98,45.16,20.61,3.93,0.98,118.78,0,22.58,1.96,0,0,12.76,0,0,0,0,13.74,8.83,0,6.87,1.96,2.94
 84-94,1.06,0,0,2163.37,5.31,0,67.97,1.06,506.59,1.06,10.62,38.23,0,0,3.19,42.48,2.12,1.06,1.06,0,38.23,26.55,1.06,3.19,63.72,0,26.55,2.12,0,0,12.74,0,3.19,0,0,3.19,36.11,0,2.12,6.37,0
 96-106,0,0,0,2685.12,7.65,4.37,66.66,5.46,539.87,5.46,13.11,90.71,0,1.09,13.11,45.9,1.09,3.28,8.74,2.19,62.29,48.09,5.46,8.74,142.07,1.09,46.99,18.58,0,1.09,46.99,0,0,0,0,6.56,60.11,1.09,10.93,4.37,3.28
108-118,0.77,0,0,2776.62,9.96,3.83,45.96,0,748.35,4.6,17.62,135.58,0,1.53,3.83,60.51,1.53,3.83,6.13,2.3,49.79,26.81,4.6,7.66,119.49,0,38.3,13.79,0,0.77,30.64,0,6.13,0.77,0,6.13,98.04,0,4.6,1.53,2.3
120,1.96,0,0,2181.24,9.8,0,56.83,0,554.62,0,17.64,54.87,0,1.96,9.8,35.28,1.96,5.88,7.84,0,45.08,35.28,3.92,5.88,131.31,0,27.44,9.8,0,3.92,23.52,0,3.92,0,0,3.92,27.44,1.96,5.88,3.92,0
