stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99.89,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0
 10-12,47.2,0,9.44,0,3.15,0,15.73,0,0,0,0,0,6.29,0,0,0,0,0,3.15,0,0,0,0,0,1491.66,3.15,0,0,53.5,0,3.15,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,0,8,2,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,3,0,0,0,1058,3,0,0,1,0,0,2,1,72,12,33,0,0,0,0
 24-34,0,0,1.64,4.93,0.82,0,7.39,0,0,0,2.46,1.64,0,0,0,0,0,0,0,0,10.67,0.82,0,4.93,1217.33,0.82,0,0,0,2.46,0,0,0.82,26.27,13.95,39.4,0,1.64,0,0
 36-46,0,0,0,2.42,2.42,0,9.67,1.61,0,0,18.53,0,0,0,0,0,0,0,0,0,10.47,0,0,4.83,1404.28,0,0,0.81,0,0.81,0,0,0,15.31,0.81,67.68,0,0.81,0,0
 48-58,0.57,0,0,7.46,0,0,29.84,1.15,0.57,0,44.76,0.57,0,0,0,0,0,0,0.57,0,8.03,0,0,7.46,1109.16,1.15,0.57,0,0.57,0.57,0,0,0.57,2.3,0,56.23,0,0.57,0,0.57
 60-70,0,0,0,5.89,0,0,22.58,0,0.98,0,81.47,0.98,0,0,0.98,0,0,0.98,0,0,6.87,0,0,1.96,1171.94,0,0,0,0,0.98,0,0,0,0.98,0,26.5,0,0,0,0
 72-82,0,0,0,19.63,0,0,82.46,1.96,0.98,0,89.33,0.98,0,0,0,0,0.98,0,0,0.98,14.72,0.98,0,2.94,926.69,0,0.98,0.98,0,0.98,0,0,0,1.96,0,22.58,1.96,0,0,1.96
 84-94,0,1.06,0,36.11,1.06,0,106.2,1.06,1.06,0,56.29,0,0,1.06,3.19,0,1.06,0,0,1.06,18.05,0,3.19,4.25,589.43,0,1.06,0,0,3.19,0,0,0,1.06,0,22.3,0,1.06,0,0
 96-106,0,0,0,30.6,3.28,0,68.85,3.28,1.09,1.09,73.22,4.37,0,1.09,0,1.09,1.09,3.28,0,0,15.3,0,0,4.37,467.74,0,1.09,0,0,1.09,0,0,1.09,0,0,10.93,0,3.28,0,0
108-118,0,0,0,29.11,0.77,0.77,27.57,2.3,2.3,0,59.75,0.77,0,0,0,0,0,0,0.77,0,9.96,0,0,3.06,619.66,0,0,2.3,0,3.06,0,0,0,0,0,8.43,0.77,0,2.3,0
120,0,0,0,23.52,0,0,76.43,0,3.92,0,58.79,0,0,0,0,0,0,0,0,0,11.76,0,1.96,5.88,601.65,3.92,0,0,0,1.96,0,0,0,0,0,11.76,0,0,0,0
