stage,blastomeres,epidermis,eye,gut,immune,ionocyte,lateral.line,mesenchyme,muscle,neural,periderm
  3-4,26.36,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,3.15
 14-21,0,0,0,0,0,0,0,0,0,0,1
 24-34,0,0,0,0,0,0,0,0,0,0,5.75
 36-46,0,0,0,0,0,0,0.81,0,0,1.61,0
 48-58,0,0,0,0,0,0,0,0,0,0.57,1.72
 60-70,0,0,0,0,0,0,0,0.98,0,1.96,2.94
 72-82,0,0.98,0,0,0,0,0,0,0.98,0.98,2.94
 84-94,0,0,1.06,0,0,1.06,0,0,0,1.06,5.31
 96-106,0,0,1.09,0,2.19,0,0,0,0,0,10.93
108-118,0,1.53,0,0.77,3.06,0,0,0,0,0.77,2.3
120,0,0,0,0,0,0,0,0,1.96,0,1.96
