stage,blastomeres,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,iridophores,lateral_line,melanocytes,mesenchyme,mucous,muscle,neural,notochord,otic,paraxial_mesoderm,periderm,somites,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.03,0,0,5.26,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,3.15,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,1,0,0,0
 24-34,0,2.46,0,0.82,0,0.82,0,0,0,0,0,0,0,0,0,0,0,0,8.21,0,0.82,0,0.82,0.82,3.28,0,0,0
 36-46,0,0,0,0.81,0,0,0,0.81,0,0,0,0,0,0,0,0.81,0,0.81,13.7,0,0,0,2.42,0,2.42,0,0,0
 48-58,0,0,0,2.3,0,0,0,0,0,0,0,0,0,0,0,1.15,0,0.57,12.05,0,0,0,1.15,0,1.15,0,0,0.57
 60-70,0,0,0,5.89,0,0,0,0,0,0,0,0,0,0,0,1.96,0,0,14.72,0,0,0,1.96,0,3.93,0.98,0,0
 72-82,0,0,0,7.85,0,0,0,0.98,0,0.98,0,0,0,0.98,0,3.93,0,1.96,28.47,0,0,0,5.89,0,2.94,0.98,0,0
 84-94,0,0,1.06,2.12,1.06,0,0,1.06,0,0,0,0,1.06,0,1.06,4.25,1.06,0,19.12,0,0,0,15.93,0,2.12,0,0,0
 96-106,0,1.09,0,2.19,0,0,1.09,1.09,0,0,1.09,2.19,0,0,0,1.09,0,0,7.65,0,1.09,0,4.37,0,0,0,1.09,0
108-118,0,2.3,0,3.83,0,0,0.77,2.3,0,0,0,0,0,0.77,0,1.53,0,0,6.13,0,0.77,0,2.3,0,0,0,0,0.77
120,0,1.96,0,1.96,0,0,0,0,1.96,0,0,0,0,0,0,1.96,1.96,3.92,17.64,0,0,0,13.72,0,3.92,0,0,0
