stage,epidermis,eye,fin.epithelia,glial,immune,ionocyte,melanocytes,mucous,muscle,neural,periderm,pronephros,spinal.cord,vasculature
 10-12,0,3.15,0,0,0,0,0,0,0,0,0,3.15,0,0
 14-21,1,1,0,0,0,0,0,0,0,1,0,0,0,0
 24-34,0.82,0,0,0,0,0.82,0.82,0,0,0.82,0,0,0.82,1.64
 36-46,1.61,0,0,0,0,0,0,0,0,1.61,2.42,0,0,0.81
 48-58,0.57,1.15,0,0,0,0,0,0.57,0,4.59,1.15,0,0,0.57
 60-70,1.96,0.98,0.98,0,0,0,0,0,0.98,3.93,1.96,0,0,0
 72-82,0.98,0.98,0,1.96,0,0,0,0,0,2.94,2.94,0,0,0
 84-94,1.06,0,1.06,1.06,0,0,0,0,0,1.06,3.19,0,0,1.06
 96-106,0,1.09,0,0,0,0,0,0,0,1.09,6.56,0,0,0
108-118,1.53,0.77,0,1.53,0.77,0.77,0,0,0,0,0.77,0,0,0
120,0,0,0,0,0,0,0,0,0,0,11.76,0,0,1.96
