stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0
  7-9,0,0,5.26,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89,5.26,0,0,2.63,0,0,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,4,0,0,0,0,0,1,1,5,0,0,0,0
 24-34,0,0.82,0,3.28,0,6.57,0,0,0,0,0,0,0,8.21,0,0,0,0,3.28,0,0,0,22.16,0,0,0,0,0.82,1.64,0.82,2.46,0,0,0,0
 36-46,0,0,0,3.22,0.81,98.29,0,0,2.42,0,0,0,0,2.42,0,0,0,0,4.03,0.81,0,0.81,31.42,0,0,0,0,0,2.42,0,8.86,0,0,0,0
 48-58,0,0,0,1.72,0,226.65,0,0,11.48,0,0,0,0,1.15,0,0,0.57,0,1.15,0,0,0,28.12,0,0.57,0,0,0.57,1.15,0,5.16,0,0,0.57,0
 60-70,0,0,0,1.96,0,221.82,0,0.98,65.76,0,0,0,0,0.98,0,0,0,0,1.96,0.98,0,0,46.13,0.98,0,0,0,0.98,1.96,0,7.85,0,0.98,0,0
 72-82,0,0,0,1.96,0,72.64,0.98,0,70.68,0.98,0,0,0.98,1.96,1.96,0,0,0,6.87,0,0,0,15.71,0,0,0.98,0,0.98,0,0,0.98,0.98,0,0,0
 84-94,0,0,0,3.19,0,49.92,0,0,36.11,1.06,1.06,0,1.06,4.25,1.06,0,0,0,2.12,0,1.06,0,14.87,0,0,0,0,1.06,1.06,0,2.12,0,0,0,0
 96-106,0,0,0,2.19,0,50.27,1.09,0,51.36,0,0,0,0,3.28,0,0,0,0,2.19,1.09,0,0,12.02,0,2.19,0,0,2.19,0,0,0,1.09,0,0,0
108-118,0,0,0,3.06,0,54.38,0.77,0,37.53,1.53,0,0.77,0,3.06,0,0,0,1.53,2.3,0.77,0,0.77,13.79,0,0,0,0,0.77,1.53,0,0,1.53,0,0,0
120,0,0,0,7.84,0,33.32,0,0,25.48,1.96,0,0,0,1.96,0,1.96,0,0,1.96,1.96,1.96,0,7.84,0,0,1.96,0,0,0,0,0,3.92,0,1.96,1.96
