stage,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,ionocyte,iridophores,melanocytes,mesenchyme,muscle,neural,olfactory,otic,pericytes,periderm,somites,spinal.cord,vasculature,xanthophores
 14-21,0,2,2,0,0,0,0,0,0,0,0,1,0,0,1,2,5,0,0,0,0,3,6,0,0
 24-34,0.82,0,0,0,1.64,0,0,0,0,0,0,0,0,0,4.1,0,9.85,0,0,0,0,0,1.64,0.82,0
 36-46,0,1.61,0,0,2.42,0,0,0,0,0,0,0,0,0,1.61,0.81,0.81,0,0,0,0,0,0.81,0,0.81
 48-58,0,0,0,0,2.3,1.15,0,0,0.57,0.57,0.57,0,0,0.57,2.3,0.57,2.3,0,0,0,0,0,1.15,0.57,0.57
 60-70,0,0,0,0,2.94,0,0,0,0,0,0,0,0,0,0.98,0,0.98,0.98,0,0,0,0,0,0,0
 72-82,0,0,0,0,2.94,0,0,0,1.96,0,0,0,0,0,2.94,0.98,2.94,0,0,0,0,0,0,0,0
 84-94,0,2.12,0,0,1.06,0,0,0,0,1.06,0,0,0,0,0,0,2.12,1.06,1.06,0,0,0,0,0,0
 96-106,1.09,2.19,0,0,2.19,0,1.09,1.09,0,1.09,0,0,1.09,0,5.46,0,4.37,0,0,0,0,0,0,1.09,0
108-118,0,1.53,0,0.77,3.06,0,0.77,0,0.77,0.77,0,0.77,0.77,0.77,2.3,0,0.77,0,0.77,0,0.77,0,0,0.77,0
120,0,1.96,0,0,3.92,0,0,0,1.96,0,0,0,0,0,0,0,1.96,0,0,1.96,0,0,0,0,0
