stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,26.36,527.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,42.91,514.89,0,6.13,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,24.52,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0,0
  7-9,7.89,31.54,0,39.43,0,0,0,94.63,0,0,0,0,0,15.77,0,0,0,0,0,0,0,0,0,0,557.29,23.66,0,0,228.7,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,15.73,0,44.06,0,0,0,66.09,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,478.34,22.03,0,0,264.35,0,0,0,31.47,0,0,0,0,0,0,0
 14-21,0,0,0,1,13,4,0,8,0,0,0,6,0,0,1,0,0,0,0,0,7,0,0,5,71,1,1,1,2,0,1,14,3,9,27,0,0,1,0,0
 24-34,0,0,0,0,5.75,0.82,0,13.13,0,0,0,1.64,0,0,0,0,0,0,0.82,0,18.06,0,0.82,7.39,132.98,0,0.82,0.82,0,0,0.82,0,0.82,2.46,28.73,0,0,0,0,0
 36-46,0,0,0,0,2.42,0,0,30.62,0,0.81,1.61,8.06,0,0,0,0,0.81,0.81,0,1.61,15.31,0,0,3.22,97.49,0.81,4.83,0,0,0,0.81,0,0,0,24.98,0,0,0.81,0,0
 48-58,0,0,0,0,1.15,0,0,43.04,0.57,0.57,0,12.05,0,0,0.57,0,0,0,0.57,0,19.51,0,0,3.44,98.12,0.57,5.74,1.15,0,0,0,0,1.15,0,12.62,0,0,0,0,0.57
 60-70,0,0,0,0,2.94,0,0,58.89,0,0,0.98,2.94,0,0,0,0,0,0,0.98,0,29.45,0,0,4.91,82.45,0,2.94,0.98,0,0,0,0,0,0,12.76,0,0,0,0,0
 72-82,0,0,0,0,2.94,0,0,57.92,0,0,0.98,8.83,0.98,0,0,0,1.96,0,0.98,0,36.32,0,2.94,2.94,82.46,0,1.96,1.96,0,0.98,0.98,0,0,0,5.89,0.98,0.98,0.98,0,0
 84-94,0,0,0,0,2.12,1.06,0,38.23,0,0,1.06,10.62,2.12,0,0,1.06,0,1.06,0,0,19.12,0,2.12,3.19,37.17,0,2.12,2.12,0,0,0,0,0,0,7.43,0,1.06,0,0,0
 96-106,0,0,0,0,3.28,4.37,0,29.51,0,1.09,0,12.02,0,0,1.09,0,0,0,1.09,0,13.11,1.09,1.09,3.28,36.06,0,4.37,4.37,0,1.09,0,0,0,0,1.09,0,1.09,0,2.19,0
108-118,0,0,1.53,0,2.3,0,0,19.15,0,0,0.77,11.49,2.3,0,0,1.53,0,0,0.77,1.53,16.09,0,1.53,2.3,46.72,0.77,1.53,3.83,0,0,0.77,0,0,0,1.53,0.77,0.77,0,1.53,0
120,0,0,0,0,5.88,1.96,1.96,17.64,0,0,0,5.88,3.92,0,0,0,0,0,1.96,0,7.84,0,0,1.96,35.28,0,7.84,0,0,3.92,1.96,0,1.96,0,1.96,0,0,1.96,1.96,0
