stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,glial,gut,ionocyte,mesenchyme,mucous,mural.cell,muscle,neural,notochord,otic,paraxial.mesoderm,periderm,pronephros,somites,spinal.cord,vasculature,xanthophores
  3-4,13.18,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,36.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,7.89,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,18.4,2.63,0,13.14,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.47,0,0,12.59,0,3.15,0,0,0,0
 14-21,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,11,0,0,0,1,0,1,8,0,0
 24-34,0,0,0,0,0,0.82,0,0,0,0,0.82,2.46,0,0,0,13.95,0,0,0,13.95,0,0,1.64,0.82,0
 36-46,0,0,0,0,0,0,0.81,0,0,0,0,0.81,0,0,0,12.89,0,0.81,0,4.83,0,0,0.81,0.81,0.81
 48-58,0,0,0,0.57,0,1.15,0,0.57,0,0,0,1.72,0,0,0,8.03,0,0,0,2.87,0,0,1.15,0,0
 60-70,0,0,0,0,0,0,0,0,2.94,0,0,0.98,0.98,0,0,7.85,0,0.98,0,8.83,0,0,4.91,0,0.98
 72-82,0,0,0,0.98,0,0.98,0,0,1.96,0,0,2.94,0,0,0,8.83,0,0,0,4.91,0,0,0,0.98,0
 84-94,0,0,0,0,1.06,0,0,0,0,0,0,0,0,1.06,1.06,5.31,0,0,0,4.25,0,0,0,0,0
 96-106,0,0,1.09,4.37,0,0,0,0,2.19,0,0,0,0,0,0,4.37,0,0,0,8.74,0,0,0,0,0
108-118,0,0,0,3.06,0,1.53,0,0,0.77,0,0,0,0.77,0,0,7.66,0,0,0,3.06,0,0,0,0,0
120,0,0,0,0,0,5.88,0,0,0,1.96,0,1.96,0,0,0,0,0,0,0,3.92,1.96,0,0,0,0
