stage,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,21,9,0,6,0,0,0,2,0,1,0,25,0,0,0,0,6,0,0,4,60,0,0,0,1,0,74,12,0,1,17,20,0,0,0,0,1
 24-34,0.82,2.46,2.46,0,18.88,0.82,0,0.82,0,0,0,0.82,23.8,0,0,0.82,0.82,5.75,0.82,0,5.75,103.43,0,1.64,0,0,0,9.03,0,1.64,0,4.93,19.7,0,0,4.1,0,0.82
 36-46,0,0.81,0,0,32.23,1.61,0,0.81,7.25,0.81,0.81,0,5.64,0.81,0,0.81,0.81,4.83,0,0,1.61,121.66,0,3.22,0,0,0,8.06,0,0.81,1.61,0,16.92,0,0,0.81,0,0.81
 48-58,0,1.72,0,0,83.2,1.15,0.57,0.57,19.51,0.57,1.15,1.72,2.87,0,0,1.15,0.57,18.36,0,0,6.31,181.32,0,2.3,0.57,0,0,10.9,0,0,2.3,0,29.84,0,0,4.02,0,1.72
 60-70,0,2.94,0,0,142.32,3.93,0,0.98,36.32,1.96,0,2.94,0.98,2.94,0,0,0,12.76,0,0,5.89,256.18,0.98,3.93,0.98,0,0.98,12.76,0,1.96,2.94,0,21.59,0,1.96,0.98,0,0
 72-82,0,5.89,0.98,0,119.76,1.96,0.98,0.98,29.45,0.98,0,2.94,8.83,0,0.98,0.98,0,23.56,0,1.96,5.89,253.27,0,1.96,0.98,0,0,9.82,0,0.98,1.96,0,9.82,0,1.96,1.96,0.98,3.93
 84-94,0,7.43,1.06,0,80.71,1.06,2.12,0,27.61,5.31,1.06,7.43,16.99,2.12,1.06,1.06,1.06,22.3,2.12,1.06,5.31,132.75,0,2.12,0,0,0,39.3,0,0,2.12,0,6.37,2.12,1.06,2.12,1.06,0
 96-106,0,6.56,4.37,1.09,67.76,1.09,2.19,0,15.3,4.37,1.09,9.84,18.58,1.09,3.28,1.09,0,10.93,1.09,0,2.19,110.38,1.09,9.84,3.28,0,1.09,38.25,0,3.28,4.37,0,2.19,0,2.19,6.56,0,0
108-118,0.77,12.26,3.83,0.77,44.43,1.53,1.53,0.77,10.72,3.83,0,5.36,9.19,0,0.77,3.06,0,9.96,0.77,0,6.13,123.32,0,6.89,1.53,0,0.77,40.6,0,1.53,2.3,0,3.83,0,0,3.83,0.77,0.77
120,0,5.88,3.92,0,27.44,0,3.92,0,5.88,7.84,0,9.8,5.88,1.96,0,1.96,0,5.88,0,0,5.88,115.63,1.96,3.92,5.88,0,0,21.56,0,1.96,0,0,5.88,0,0,1.96,0,0
